LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-68.4636 	 -10.8214 	 287.18 	 978170.24
-68.7128 	 -11.0711 	 287.6 	 978135.48
-68.6956 	 -11.1164 	 293.46 	 978148.95
-67.7467 	 -10.0092 	 177.85 	 978130.89
-67.7172 	 -9.9494 	 157.61 	 978144.27
-67.6731 	 -9.9553 	 156.46 	 978145.39
-67.8275 	 -9.8597 	 197.69 	 978142.78
-67.8236 	 -9.7953 	 207.31 	 978147.16
-67.7844 	 -9.7525 	 198.89 	 978154.38
-67.7892 	 -9.68 	 186.82 	 978164.84
-67.8433 	 -9.7217 	 198.79 	 978154.08
-67.9064 	 -9.6864 	 179.34 	 978162.75
-67.9508 	 -9.8314 	 237.07 	 978135.17
-69.1714 	 -10.8256 	 307.89 	 978161.72
-69.3928 	 -10.8017 	 302.97 	 978167.13
-69.4803 	 -10.8467 	 313.29 	 978172.28
-67.6931 	 -10.2892 	 235.18 	 978164.72
-67.7281 	 -10.3897 	 244.8 	 978162.16
-67.7067 	 -10.4472 	 235.21 	 978170.67
-67.8436 	 -10.5831 	 250.72 	 978184.93
-67.9617 	 -10.5947 	 250.47 	 978184.49
-68.04 	 -10.6189 	 251.71 	 978192.29
-66.895 	 -9.8397 	 162.98 	 978167.19
-66.9861 	 -9.9372 	 177.9 	 978177.27
-67.0575 	 -9.9117 	 184.81 	 978174.88
-67.0958 	 -9.8433 	 187.96 	 978177.92
-67.1069 	 -9.7767 	 174.0 	 978175.34
-67.1253 	 -9.7264 	 155.47 	 978181.81
-67.8258 	 -9.9314 	 188.7 	 978141.35
-67.7875 	 -9.88 	 198.71 	 978136.95
-67.7381 	 -9.8264 	 235.06 	 978131.57
-67.6719 	 -9.7044 	 227.16 	 978163.38
-67.6267 	 -9.6553 	 209.72 	 978171.86
-67.5967 	 -9.605 	 213.22 	 978175.68
-67.545 	 -9.5892 	 146.4 	 978190.98
-67.71 	 -9.5917 	 184.06 	 978178.03
-67.7294 	 -9.6564 	 200.4 	 978168.14
-67.7633 	 -9.6561 	 184.16 	 978168.92
-67.7203 	 -9.7056 	 188.17 	 978166.7
-67.8128 	 -10.0258 	 169.01 	 978148.56
-67.7517 	 -10.0631 	 189.93 	 978143.26
-67.7369 	 -10.155 	 229.05 	 978148.76
-67.6967 	 -10.2106 	 230.41 	 978159.05
-67.8181 	 -10.0764 	 168.13 	 978151.83
-67.8272 	 -10.0397 	 166.96 	 978153.56
-67.8408 	 -10.0081 	 158.57 	 978152.68
-67.6217 	 -10.39 	 235.03 	 978165.47
-67.6081 	 -10.4236 	 238.77 	 978163.52
-67.5681 	 -10.4331 	 236.73 	 978164.49
-67.6614 	 -10.2022 	 207.98 	 978162.0
-67.4078 	 -9.9456 	 173.8 	 978167.63
-67.3342 	 -9.9433 	 176.81 	 978169.16
-67.2678 	 -9.9428 	 197.04 	 978168.82
-67.1858 	 -10.0389 	 188.27 	 978160.98
-67.1514 	 -10.1017 	 174.52 	 978152.5
-67.3689 	 -9.7828 	 208.36 	 978175.95
-67.3447 	 -9.7194 	 203.42 	 978177.09
-67.3264 	 -9.6489 	 202.63 	 978177.23
-68.3297 	 -9.5342 	 203.16 	 978148.12
-68.3583 	 -9.4869 	 180.26 	 978149.9
-68.4028 	 -9.4369 	 218.11 	 978140.04
-68.4639 	 -9.3883 	 260.52 	 978129.64
-68.4733 	 -9.3303 	 225.58 	 978133.5
-68.5131 	 -9.2722 	 215.24 	 978135.73
-68.5333 	 -9.2153 	 183.9 	 978141.13
-68.575 	 -9.1606 	 184.2 	 978139.09
-68.6136 	 -9.1089 	 176.88 	 978138.48
-67.5364 	 -10.1197 	 188.91 	 978154.93
-68.2717 	 -9.5836 	 211.4 	 978148.55
-67.6086 	 -10.0956 	 227.04 	 978137.63
-67.3306 	 -10.1747 	 188.51 	 978151.79
-67.2872 	 -10.225 	 183.86 	 978145.56
-67.2442 	 -10.2758 	 170.56 	 978153.02
-67.1636 	 -10.1697 	 222.53 	 978147.28
-67.1117 	 -10.1036 	 185.95 	 978157.12
-67.0389 	 -10.0525 	 184.77 	 978174.83
-67.0294 	 -9.9822 	 188.89 	 978177.72
-67.6694 	 -10.1036 	 229.98 	 978136.01
-68.3669 	 -10.6919 	 249.51 	 978168.99
-68.2303 	 -10.6806 	 241.62 	 978175.6
-68.1561 	 -10.7022 	 265.04 	 978178.95
-68.1225 	 -10.6831 	 236.86 	 978185.52
-67.1239 	 -9.9694 	 189.74 	 978172.43
-67.5194 	 -10.0239 	 194.98 	 978140.04
-67.5008 	 -10.0175 	 213.15 	 978138.18
-67.4961 	 -9.9725 	 208.81 	 978150.82
-68.4389 	 -10.7625 	 261.4 	 978178.16
-68.4306 	 -10.725 	 259.14 	 978173.9
-68.6419 	 -11.1269 	 303.92 	 978153.02
-68.6039 	 -11.1144 	 269.44 	 978152.76
-68.5783 	 -11.0978 	 297.73 	 978144.56
-68.5458 	 -11.05 	 301.05 	 978136.05
-68.5622 	 -11.0186 	 300.18 	 978137.75
-68.5583 	 -10.9581 	 295.78 	 978144.99
-68.5397 	 -10.9067 	 258.72 	 978153.24
-68.7875 	 -10.9464 	 281.15 	 978162.4
-68.7797 	 -10.8817 	 301.59 	 978145.99
-68.7875 	 -10.8289 	 297.23 	 978135.51
-68.8267 	 -10.9417 	 300.13 	 978160.71
-68.8297 	 -10.8669 	 262.63 	 978156.17
-68.8106 	 -10.8292 	 276.24 	 978142.9
-68.9467 	 -10.9483 	 278.74 	 978169.98
-68.9297 	 -10.9858 	 272.62 	 978173.1
-68.8858 	 -10.9689 	 269.25 	 978172.81
-67.0569 	 -9.9447 	 188.11 	 978174.48
-67.6686 	 -10.0136 	 204.53 	 978132.67
-67.1969 	 -10.2422 	 182.72 	 978154.05
-67.7917 	 -10.6033 	 247.09 	 978181.64
-67.63 	 -9.9775 	 212.46 	 978135.01
-67.9364 	 -9.7975 	 207.84 	 978144.82
-69.0942 	 -10.8514 	 300.72 	 978163.74
-67.3803 	 -10.1347 	 205.9 	 978149.94
-68.0933 	 -10.6553 	 253.41 	 978179.68
-67.6092 	 -10.3533 	 243.25 	 978167.97
-67.2453 	 -9.9742 	 203.2 	 978166.42
-67.6883 	 -10.3503 	 242.64 	 978164.33
-67.88 	 -10.5847 	 247.16 	 978186.67
-67.8472 	 -9.9161 	 188.83 	 978142.67
-67.7439 	 -9.6925 	 183.51 	 978167.02
-67.9264 	 -9.7425 	 205.62 	 978150.92
-68.8525 	 -10.9414 	 295.42 	 978163.99
-69.0381 	 -10.8969 	 315.23 	 978161.15
-67.7939 	 -10.0956 	 180.82 	 978149.28
-67.6178 	 -10.2028 	 196.95 	 978163.64
-67.7092 	 -9.7506 	 233.64 	 978152.44
-67.67 	 -9.655 	 185.17 	 978175.57
-67.7833 	 -9.6331 	 184.14 	 978171.4
-67.7544 	 -10.1022 	 209.86 	 978143.65
-67.5525 	 -10.3306 	 226.97 	 978167.54
-67.2922 	 -10.3022 	 175.84 	 978157.49
-67.5917 	 -10.0625 	 221.63 	 978129.33
-67.3236 	 -10.0603 	 234.84 	 978141.73
-67.0589 	 -9.9461 	 195.0 	 978173.61
-67.7858 	 -10.1019 	 215.97 	 978140.32
-67.4208 	 -10.0964 	 223.33 	 978142.75
-67.3781 	 -9.9744 	 180.87 	 978162.22
-67.6575 	 -10.2661 	 197.89 	 978171.64
-67.6117 	 -10.3031 	 194.58 	 978174.71
-67.4878 	 -10.3325 	 213.16 	 978172.44
-67.42 	 -10.3325 	 201.47 	 978169.01
-67.3564 	 -10.3128 	 191.93 	 978160.12
-67.5372 	 -10.0811 	 179.54 	 978145.01
-67.4611 	 -10.1103 	 212.94 	 978147.39
-67.375 	 -10.085 	 202.97 	 978150.95
-67.28 	 -10.0392 	 214.25 	 978149.4
-67.1919 	 -9.9989 	 207.08 	 978165.3
-67.8786 	 -9.9389 	 173.78 	 978152.22
-67.9033 	 -9.8814 	 207.21 	 978144.15
-67.9622 	 -9.8336 	 233.63 	 978135.56
-68.005 	 -9.7992 	 207.81 	 978145.06
-68.0622 	 -9.7631 	 188.02 	 978151.0
-68.1467 	 -9.7217 	 181.68 	 978158.29
-68.1969 	 -9.6831 	 207.52 	 978153.93
-68.2261 	 -9.6328 	 225.23 	 978151.98
-67.5208 	 -10.1867 	 196.55 	 978161.83
-67.3761 	 -10.1361 	 215.58 	 978148.09
-67.3258 	 -10.1803 	 193.76 	 978150.79
-67.4006 	 -10.1686 	 206.59 	 978151.19
-67.3583 	 -10.0286 	 206.61 	 978150.02
