LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-37.118 	 -9.7955 	 195.85 	 978111.34
-37.0422 	 -9.3756 	 241.66 	 978080.82
-37.1259 	 -9.4557 	 245.14 	 978079.77
-37.122 	 -9.542 	 143.11 	 978108.13
-37.1248 	 -9.6238 	 153.16 	 978117.92
-37.0466 	 -9.6241 	 187.86 	 978113.54
-37.0464 	 -9.5423 	 210.01 	 978102.01
-37.0413 	 -9.4582 	 244.61 	 978084.17
-36.7082 	 -10.2083 	 89.45 	 978150.83
-36.7107 	 -10.1254 	 110.82 	 978152.56
-36.7078 	 -10.0408 	 238.65 	 978128.47
-36.7953 	 -10.0372 	 130.33 	 978147.66
-36.7935 	 -9.9583 	 169.23 	 978139.32
-35.2225 	 -9.0128 	 -1.76 	 978175.11
-35.4444 	 -9.0661 	 16.94 	 978144.6
-35.4858 	 -9.0892 	 63.64 	 978131.97
-35.5344 	 -9.1566 	 7.87 	 978151.07
-35.5122 	 -9.2203 	 2.79 	 978143.36
-35.4889 	 -9.2414 	 -3.35 	 978140.59
-35.5554 	 -9.2866 	 -0.56 	 978148.66
-35.5617 	 -9.3194 	 -3.69 	 978141.97
-35.5328 	 -9.3815 	 40.01 	 978122.13
-35.5244 	 -9.4369 	 -4.99 	 978140.24
-35.331 	 -9.0647 	 37.41 	 978148.57
-35.286 	 -9.0167 	 -0.26 	 978170.27
-35.1792 	 -8.9586 	 -1.63 	 978188.81
-36.5134 	 -9.9937 	 149.9 	 978144.18
-36.5636 	 -10.1996 	 89.91 	 978161.06
-36.5371 	 -10.1359 	 132.78 	 978150.78
-36.5224 	 -10.066 	 130.42 	 978154.43
-36.4145 	 -9.8962 	 175.96 	 978158.13
-36.3459 	 -9.9088 	 135.08 	 978164.91
-36.2773 	 -9.8998 	 126.67 	 978154.73
-36.2204 	 -9.9044 	 108.48 	 978158.14
-36.1415 	 -9.894 	 23.09 	 978162.83
-36.133 	 -9.8363 	 99.39 	 978138.41
-36.0569 	 -9.7346 	 103.78 	 978126.09
-36.0331 	 -9.7011 	 5.26 	 978145.18
-36.0294 	 -9.6335 	 108.63 	 978135.5
-35.995 	 -9.5863 	 77.64 	 978150.75
-35.9547 	 -9.6067 	 4.85 	 978148.78
-35.8806 	 -9.5878 	 97.13 	 978120.71
-35.8247 	 -9.5733 	 -3.3 	 978143.83
-35.7611 	 -9.6215 	 -7.53 	 978140.22
-35.6976 	 -9.6348 	 -4.04 	 978147.91
-35.6564 	 -9.5767 	 -1.67 	 978145.33
-35.5644 	 -9.4733 	 -2.43 	 978138.73
-36.554 	 -10.2664 	 63.29 	 978164.24
-36.7917 	 -9.6246 	 210.2 	 978117.67
-36.6043 	 -9.6196 	 201.71 	 978129.5
-36.5389 	 -9.6281 	 274.98 	 978123.03
-36.5419 	 -9.5421 	 235.35 	 978129.89
-36.709 	 -9.4588 	 288.86 	 978099.32
-36.7092 	 -9.5388 	 252.63 	 978107.66
-36.959 	 -9.9577 	 97.09 	 978150.95
-36.8752 	 -9.9572 	 234.34 	 978122.36
-36.874 	 -9.8766 	 169.23 	 978129.0
-36.8719 	 -9.7972 	 199.52 	 978119.59
-36.7921 	 -9.7916 	 272.91 	 978110.18
-36.7984 	 -9.8712 	 221.27 	 978123.47
-36.7078 	 -9.7907 	 244.33 	 978123.02
-37.711 	 -9.623 	 131.53 	 978106.54
-37.6952 	 -9.5469 	 178.74 	 978094.38
-37.7141 	 -9.4574 	 242.92 	 978080.15
-37.7953 	 -9.4548 	 279.36 	 978070.63
-37.8741 	 -9.3849 	 248.17 	 978082.17
-37.8224 	 -9.3701 	 260.69 	 978080.02
-37.6252 	 -9.4632 	 216.56 	 978083.4
-37.6196 	 -9.5421 	 215.37 	 978088.12
-37.6284 	 -9.6235 	 170.35 	 978096.86
-37.7108 	 -9.3757 	 252.97 	 978082.08
-37.7085 	 -9.288 	 279.14 	 978078.49
-37.7077 	 -9.2066 	 359.84 	 978154.97
-37.7974 	 -9.2918 	 342.76 	 978061.48
-37.9475 	 -9.2122 	 624.36 	 977994.67
-37.957 	 -9.1206 	 301.72 	 978052.66
-37.5303 	 -9.5328 	 207.35 	 978088.82
-37.4613 	 -9.538 	 225.25 	 978085.35
-37.3756 	 -9.5429 	 277.35 	 978075.94
