LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-63.125 	 -4.0547 	 20.11 	 978000.47
-63.0825 	 -4.0728 	 20.11 	 977999.37
-63.0278 	 -4.0578 	 18.96 	 978000.05
-60.0264 	 -2.0497 	 50.33 	 978013.96
-66.9933 	 -0.1525 	 82.59 	 978012.05
-66.4072 	 -0.4225 	 56.22 	 978017.81
-65.3955 	 -0.334 	 47.18 	 978022.65
-64.5608 	 -0.4081 	 39.88 	 978033.11
-63.9964 	 -0.3836 	 27.53 	 978039.4
-60.4933 	 -0.9867 	 51.84 	 978029.81
-60.5058 	 -0.9419 	 52.98 	 978025.87
-60.5139 	 -0.9167 	 47.43 	 978023.9
-60.5194 	 -0.8925 	 41.79 	 978022.16
-60.0086 	 -2.1731 	 80.16 	 978009.56
-61.43 	 -1.9058 	 10.74 	 978015.11
-60.9472 	 -2.6203 	 21.57 	 978004.34
-60.04 	 -2.6306 	 48.58 	 978009.86
-60.0381 	 -2.6053 	 56.47 	 978006.7
-60.0286 	 -2.5803 	 50.21 	 978007.16
-60.0467 	 -2.5581 	 95.87 	 977997.94
-60.0369 	 -2.5378 	 95.65 	 978000.41
-60.0456 	 -2.4842 	 55.18 	 978017.48
-60.0167 	 -2.4592 	 87.02 	 978017.32
-60.0283 	 -2.4331 	 78.95 	 978024.4
-60.0344 	 -2.4067 	 57.98 	 978030.91
-60.0406 	 -2.3797 	 68.76 	 978030.02
-60.0439 	 -2.3547 	 73.36 	 978026.79
-60.0419 	 -2.2772 	 110.31 	 978006.6
-60.0461 	 -2.2494 	 72.72 	 978012.54
-60.0286 	 -2.1983 	 109.68 	 978002.38
-66.8378 	 -4.9092 	 74.99 	 978061.58
-66.8486 	 -4.8397 	 74.22 	 978061.73
-60.0361 	 -2.7583 	 46.13 	 978003.43
-60.0453 	 -2.7364 	 62.19 	 978000.75
-60.0631 	 -2.7106 	 26.95 	 978010.35
-60.0436 	 -2.6586 	 52.91 	 978006.64
-60.0136 	 -2.1361 	 60.93 	 978012.72
-60.0203 	 -2.06 	 79.09 	 978009.09
-60.0272 	 -2.0192 	 107.18 	 978004.75
-60.0272 	 -1.9933 	 79.7 	 978012.75
-60.0539 	 -1.9186 	 139.05 	 978004.13
