        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2019/08/30
----------------------------------------------------------------------
           modelname     EIGEN-6C4
     max_used_degree          2190
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points           149
      latlimit_north       3.8286240000000    
      latlimit_south     -0.82196780000000    
      longlimit_west      -52.515660000000    
      longlimit_east      -50.697500000000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
 5 gravity                      [mGal]  gravity(h)                        
----------------------------------------------------------------------

end_of_head ================================================================
1            -51.08530000    0.08770000 -7.730000E+00  9.780366650433E+05
2            -51.06630000    0.07790000 -4.940000E+00  9.780380838877E+05
3            -51.16970000    0.22860000  2.057000E+01  9.780247035375E+05
4            -51.18740000    0.23180000 -9.900000E-01  9.780317932043E+05
5            -51.20330000    0.22400000 -1.069000E+01  9.780355517320E+05
6            -51.22990000    0.22490000 -6.400000E+00  9.780357579450E+05
7            -51.28840000    0.23660000  4.070000E+00  9.780344525828E+05
8            -51.27090000    0.17950000 -1.020000E+00  9.780374130303E+05
9            -51.30480000    0.23680000  1.474000E+01  9.780313737699E+05
10           -51.32270000    0.23660000 -6.830000E+00  9.780381808995E+05
11           -51.37630000    0.21580000  2.150000E+00  9.780360131074E+05
12           -51.41830000    0.07930000  7.850000E+00  9.780362957729E+05
13           -51.40140000    0.09300000  6.740000E+00  9.780382103558E+05
14           -51.38050000    0.12800000  7.590000E+00  9.780380164086E+05
15           -51.38100000    0.15240000  1.155000E+01  9.780354291998E+05
16           -51.42430000    0.22730000  1.330000E+01  9.780326072758E+05
17           -51.46750000    0.21450000 -1.084000E+01  9.780386780073E+05
18           -51.48770000    0.19500000 -3.660000E+00  9.780349248651E+05
19           -51.57640000    0.15080000 -2.071000E+01  9.780361142846E+05
20           -51.89480000    0.14620000 -7.040000E+00  9.780224378768E+05
21           -51.62310000    0.10280000  8.910000E+00  9.780278035751E+05
22           -51.63300000    0.08550000 -3.840000E+00  9.780317229762E+05
23           -51.63380000    0.07520000  4.950000E+00  9.780288252591E+05
24           -51.63700000    0.05560000  1.275000E+01  9.780259693940E+05
25           -51.63620000    0.01040000  8.860000E+00  9.780256683396E+05
26           -51.61880000   -0.00100000 -7.540000E+00  9.780303176344E+05
27           -51.62170000   -0.02400000  9.450000E+00  9.780243359186E+05
28           -51.62210000   -0.04440000  5.450000E+00  9.780251520498E+05
29           -51.59420000   -0.05110000  6.800000E-01  9.780271292453E+05
30           -51.57240000   -0.04530000 -5.760000E+00  9.780295261504E+05
31           -51.55480000   -0.05730000  3.020000E+00  9.780273791832E+05
32           -51.53640000   -0.06860000 -2.180000E+00  9.780298155970E+05
33           -51.51400000   -0.08180000  2.980000E+00  9.780295749531E+05
34           -51.49020000   -0.06950000 -4.560000E+00  9.780332837358E+05
35           -51.47340000   -0.06640000 -8.180000E+00  9.780360529007E+05
36           -51.44350000   -0.05390000 -7.000000E-02  9.780370426763E+05
37           -51.93210000   -0.08070000 -4.680000E+00  9.780167567301E+05
38           -51.83410000   -0.08960000 -3.480000E+00  9.780234125258E+05
39           -51.55900000   -0.10070000 -1.295000E+01  9.780338056591E+05
40           -51.41330000   -0.12460000 -1.730000E+00  9.780385780621E+05
41           -51.41370000   -0.12370000 -3.870000E+00  9.780392688159E+05
42           -51.33550000   -0.13320000 -5.370000E+00  9.780391270400E+05
43           -51.36810000   -0.14670000 -7.040000E+00  9.780397427927E+05
44           -51.39150000   -0.16160000 -1.262000E+01  9.780402507715E+05
45           -51.41100000   -0.17470000 -1.780000E+01  9.780401754228E+05
46           -51.43740000   -0.20590000 -1.413000E+01  9.780359410772E+05
47           -51.43130000   -0.22130000 -1.436000E+01  9.780351657112E+05
48           -51.02990000    0.42810000  1.074000E+01  9.780362682113E+05
49           -51.01240000    0.40670000  1.014000E+01  9.780377666997E+05
50           -50.99950000    0.38420000  3.360000E+00  9.780404027882E+05
