LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-51.0853 	 0.0877 	 -7.73 	 978040.39
-51.0663 	 0.0779 	 -4.94 	 978042.06
-51.1697 	 0.2286 	 20.57 	 978040.94
-51.1874 	 0.2318 	 -0.99 	 978036.48
-51.2033 	 0.224 	 -10.69 	 978038.54
-51.2299 	 0.2249 	 -6.4 	 978037.39
-51.2884 	 0.2366 	 4.07 	 978033.86
-51.2709 	 0.1795 	 -1.02 	 978035.96
-51.3048 	 0.2368 	 14.74 	 978032.24
-51.3227 	 0.2366 	 -6.83 	 978038.52
-51.3763 	 0.2158 	 2.15 	 978033.74
-51.4183 	 0.0793 	 7.85 	 978033.27
-51.4014 	 0.093 	 6.74 	 978034.03
-51.3805 	 0.128 	 7.59 	 978034.92
-51.381 	 0.1524 	 11.55 	 978033.12
-51.4243 	 0.2273 	 13.3 	 978038.37
-51.4675 	 0.2145 	 -10.84 	 978038.7
-51.4877 	 0.195 	 -3.66 	 978037.99
-51.5764 	 0.1508 	 -20.71 	 978033.84
-51.8948 	 0.1462 	 -7.04 	 978029.27
-51.6231 	 0.1028 	 8.91 	 978023.98
-51.633 	 0.0855 	 -3.84 	 978028.65
-51.6338 	 0.0752 	 4.95 	 978026.76
-51.637 	 0.0556 	 12.75 	 978027.3
-51.6362 	 0.0104 	 8.86 	 978028.98
-51.6188 	 -0.001 	 -7.54 	 978031.11
-51.6217 	 -0.024 	 9.45 	 978030.46
-51.6221 	 -0.0444 	 5.45 	 978028.51
-51.5942 	 -0.0511 	 0.68 	 978025.63
-51.5724 	 -0.0453 	 -5.76 	 978030.05
-51.5548 	 -0.0573 	 3.02 	 978028.99
-51.5364 	 -0.0686 	 -2.18 	 978029.94
-51.514 	 -0.0818 	 2.98 	 978029.29
-51.4902 	 -0.0695 	 -4.56 	 978030.64
-51.4734 	 -0.0664 	 -8.18 	 978033.13
-51.4435 	 -0.0539 	 -0.07 	 978037.19
-51.9321 	 -0.0807 	 -4.68 	 978038.15
-51.8341 	 -0.0896 	 -3.48 	 978038.24
-51.559 	 -0.1007 	 -12.95 	 978039.4
-51.4133 	 -0.1246 	 -1.73 	 978035.65
-51.4137 	 -0.1237 	 -3.87 	 978036.11
-51.3355 	 -0.1332 	 -5.37 	 978036.36
-51.3681 	 -0.1467 	 -7.04 	 978036.63
-51.3915 	 -0.1616 	 -12.62 	 978038.36
-51.411 	 -0.1747 	 -17.8 	 978040.28
-51.4374 	 -0.2059 	 -14.13 	 978037.45
-51.4313 	 -0.2213 	 -14.36 	 978036.25
-51.0299 	 0.4281 	 10.74 	 978039.68
-51.0124 	 0.4067 	 10.14 	 978040.71
-50.9995 	 0.3842 	 3.36 	 978043.18
-50.996 	 0.3255 	 3.16 	 978046.75
-50.9858 	 0.2989 	 -3.13 	 978048.94
-50.9352 	 0.3109 	 -15.22 	 978054.21
-50.9354 	 0.3101 	 -15.91 	 978054.43
-51.0091 	 0.483 	 16.61 	 978033.61
-50.9624 	 0.5012 	 0.59 	 978033.16
-50.9222 	 0.5292 	 -9.45 	 978034.59
-50.9021 	 0.5505 	 -3.26 	 978027.78
-50.8649 	 0.5784 	 -2.24 	 978024.55
-50.8405 	 0.5722 	 -7.12 	 978023.7
-50.8148 	 0.5737 	 -5.94 	 978023.07
-50.7751 	 0.5784 	 -10.43 	 978025.23
-50.7174 	 0.5892 	 -14.63 	 978029.87
-50.6993 	 0.6046 	 -14.84 	 978031.81
-50.6981 	 0.6065 	 -17.15 	 978032.51
-50.6975 	 0.6067 	 -16.53 	 978032.39
-51.0575 	 0.0997 	 -5.76 	 978043.69
-51.0475 	 0.1364 	 -13.3 	 978047.28
-51.0525 	 0.1342 	 -9.52 	 978046.53
-51.0489 	 0.4138 	 10.03 	 978041.08
-51.062 	 0.3901 	 13.03 	 978040.65
-51.0741 	 0.3729 	 9.37 	 978041.87
-51.0846 	 0.3022 	 7.31 	 978040.04
-51.0716 	 0.2443 	 5.63 	 978040.12
-51.0473 	 0.2274 	 -3.2 	 978042.76
-51.0199 	 0.2289 	 -1.05 	 978047.45
-50.9915 	 0.2343 	 -1.99 	 978048.26
-50.9143 	 0.269 	 -11.61 	 978057.44
-51.0863 	 0.2575 	 2.15 	 978039.66
-51.1172 	 0.2032 	 -0.16 	 978039.26
-51.1244 	 0.1772 	 -0.3 	 978035.46
-51.138 	 0.1523 	 3.81 	 978035.91
-51.1079 	 0.0918 	 -4.87 	 978038.1
-50.9506 	 2.4925 	 -22.89 	 978014.75
-50.9104 	 1.506 	 -16.78 	 978008.51
-51.1023 	 0.9137 	 9.98 	 978037.47
-51.29 	 0.848 	 63.85 	 978017.17
-51.7904 	 0.6295 	 54.6 	 977995.57
-51.10087 	 0.2306182 	 5.155 	 978038.43
-51.29294 	 0.2168214 	 7.91 	 978034.58
-51.44013 	 0.07190513 	 -19.379 	 978039.33
-51.4319 	 -0.2219593 	 -14.946 	 978036.27
-51.18065 	 -0.05734273 	 -15.506 	 978035.46
-51.18021 	 -0.05421576 	 -14.47 	 978035.94
-51.16727 	 -0.05446229 	 -14.141 	 978035.17
-51.16013 	 -0.0608744 	 -17.561 	 978036.3
-50.73838 	 0.5761098 	 -9.839 	 978026.56
-51.73304 	 -0.09165057 	 -0.95 	 978026.07
-51.63681 	 0.00985325 	 11.183 	 978028.74
-51.83845 	 0.6460008 	 51.762 	 977988.28
-51.16648 	 -0.05958514 	 -16.436 	 978035.78
