LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-38.0639 	 -11.1978 	 167.12 	 978164.67
-38.0097 	 -11.1968 	 149.15 	 978191.76
-39.5183 	 -15.8027 	 259.93 	 978337.62
-39.521 	 -15.8599 	 201.44 	 978346.38
-38.3525 	 -11.7861 	 167.38 	 978136.04
-38.3275 	 -11.7089 	 268.38 	 978109.76
-38.302 	 -11.6309 	 260.05 	 978106.06
-38.3637 	 -11.8311 	 196.21 	 978136.51
-38.3156 	 -11.6819 	 262.85 	 978111.02
-38.2958 	 -11.5706 	 226.98 	 978097.18
-38.2986 	 -11.5054 	 171.64 	 978094.41
-38.2947 	 -11.4578 	 216.8 	 978077.97
-39.4004 	 -15.152 	 268.29 	 978317.07
-39.301 	 -14.7637 	 70.8 	 978349.97
-39.2808 	 -14.8525 	 130.05 	 978347.45
-39.2895 	 -14.9112 	 131.65 	 978346.88
-39.3455 	 -14.7278 	 63.92 	 978341.88
-39.308 	 -14.9597 	 100.38 	 978351.09
-40.3068 	 -12.5101 	 257.76 	 978158.62
-39.4362 	 -15.6523 	 104.69 	 978360.76
-39.4444 	 -15.4533 	 129.73 	 978356.39
-39.4326 	 -15.4979 	 108.85 	 978361.78
-39.4069 	 -15.5444 	 123.76 	 978361.41
-39.4283 	 -15.5944 	 73.81 	 978367.16
-39.3292 	 -15.014 	 120.26 	 978353.12
-39.338 	 -15.0781 	 143.33 	 978354.21
-39.4427 	 -15.1954 	 151.53 	 978333.55
-39.4465 	 -15.7112 	 191.68 	 978346.55
-39.4826 	 -15.7557 	 238.87 	 978340.95
-39.4526 	 -15.2555 	 146.05 	 978340.81
-39.4896 	 -15.297 	 219.83 	 978324.45
-39.4998 	 -15.3594 	 159.28 	 978339.27
-39.4673 	 -15.4044 	 132.8 	 978352.8
-39.3703 	 -15.1095 	 202.05 	 978334.19
-39.2778 	 -14.7889 	 47.05 	 978361.29
-39.5817 	 -16.3767 	 176.52 	 978379.57
-38.2925 	 -11.4175 	 219.68 	 978073.71
-38.3289 	 -11.3564 	 125.16 	 978086.02
-38.2638 	 -11.3267 	 171.57 	 978098.18
-38.2204 	 -11.3108 	 141.87 	 978105.61
-38.1678 	 -11.2721 	 153.26 	 978116.1
-38.1276 	 -11.2347 	 264.88 	 978109.17
-45.0808 	 -12.4305 	 511.11 	 978108.23
-44.47 	 -13.6975 	 569.54 	 978157.66
-44.4008 	 -13.6147 	 460.22 	 978169.82
-44.3825 	 -13.6064 	 464.75 	 978169.91
-44.3556 	 -13.6064 	 457.77 	 978172.01
-44.3289 	 -13.6028 	 458.81 	 978173.75
-44.3197 	 -13.5811 	 454.85 	 978172.04
-44.2872 	 -13.5719 	 454.64 	 978171.31
-44.2808 	 -13.5547 	 470.42 	 978161.98
-44.0831 	 -13.3894 	 441.75 	 978162.89
-46.0996 	 -15.2324 	 933.88 	 978117.45
-43.7658 	 -14.3049 	 428.25 	 978190.3
-39.7044 	 -17.4812 	 102.02 	 978452.77
-39.6852 	 -17.4257 	 105.01 	 978450.43
-39.6514 	 -17.3701 	 93.42 	 978449.75
-39.6322 	 -17.3137 	 96.29 	 978443.33
-39.6312 	 -17.2556 	 75.81 	 978446.11
-44.2375 	 -13.4758 	 456.64 	 978156.42
-44.2072 	 -13.4269 	 441.28 	 978164.01
-43.7847 	 -14.334 	 424.16 	 978190.54
-43.7633 	 -14.4063 	 442.76 	 978186.97
-43.7522 	 -14.4491 	 447.98 	 978185.37
-43.7741 	 -14.5008 	 468.63 	 978184.2
-43.6807 	 -14.5998 	 477.54 	 978185.15
-43.7322 	 -14.5777 	 493.09 	 978182.39
-43.6462 	 -14.6141 	 459.36 	 978188.32
-39.2337 	 -15.475 	 126.81 	 978392.5
-39.1771 	 -15.5086 	 101.52 	 978393.78
-39.1163 	 -15.539 	 73.83 	 978404.87
-42.3197 	 -14.6169 	 712.72 	 978122.72
-44.4253 	 -14.2444 	 31.42 	 978175.76
-43.1838 	 -12.6888 	 409.2 	 978104.77
-37.9967 	 -12.0961 	 112.56 	 978250.54
-37.9558 	 -11.9706 	 125.88 	 978229.66
-37.9486 	 -11.9408 	 52.19 	 978243.51
-37.9628 	 -11.9783 	 125.47 	 978229.68
-37.9733 	 -12.0069 	 76.49 	 978243.34
-37.9919 	 -12.0275 	 104.24 	 978237.07
-38.0003 	 -12.0567 	 88.2 	 978241.52
-39.6739 	 -16.0809 	 216.09 	 978360.81
-39.7131 	 -16.0917 	 269.37 	 978352.24
-39.7754 	 -16.0825 	 254.4 	 978355.93
-39.5778 	 -15.9933 	 116.92 	 978359.12
-43.6921 	 -14.7079 	 436.7 	 978200.53
-43.734 	 -14.6963 	 432.15 	 978200.43
-43.7709 	 -14.6875 	 431.81 	 978199.77
-43.8461 	 -14.6546 	 434.09 	 978194.54
-43.8226 	 -14.6754 	 430.17 	 978198.25
-37.8989 	 -12.2656 	 36.44 	 978286.99
-37.8981 	 -12.2458 	 38.64 	 978285.06
-37.8969 	 -12.2267 	 43.9 	 978284.06
-37.9119 	 -12.2258 	 26.85 	 978289.02
-37.9414 	 -12.2106 	 37.24 	 978286.71
-37.9542 	 -12.2061 	 43.7 	 978286.11
-37.9656 	 -12.1897 	 123.89 	 978274.49
-37.9717 	 -12.1569 	 107.28 	 978274.53
-38.0189 	 -12.5636 	 2.16 	 978315.38
-38.0053 	 -12.5536 	 7.18 	 978313.28
-37.9975 	 -12.5403 	 5.06 	 978312.62
-37.9119 	 -12.3836 	 -2.57 	 978302.23
-37.9081 	 -12.3628 	 -4.15 	 978300.8
-37.9064 	 -12.3506 	 -3.14 	 978299.37
-37.9044 	 -12.3344 	 7.03 	 978296.66
-37.8383 	 -12.2275 	 5.89 	 978288.78
-37.7914 	 -12.1378 	 43.53 	 978278.54
-39.6091 	 -16.0304 	 220.18 	 978350.19
-42.858 	 -13.6752 	 630.53 	 978106.37
-39.7264 	 -17.559 	 101.97 	 978456.33
-39.6027 	 -17.2099 	 133.94 	 978430.54
-39.756 	 -17.6067 	 95.92 	 978456.77
-39.7685 	 -17.7269 	 74.7 	 978469.5
-39.7799 	 -17.7916 	 49.11 	 978481.29
-39.0627 	 -15.5679 	 56.33 	 978417.51
-39.5931 	 -16.324 	 176.24 	 978376.78
-39.5852 	 -16.2637 	 136.7 	 978382.61
-39.6016 	 -16.2079 	 202.47 	 978368.13
-39.5959 	 -16.1487 	 232.3 	 978358.21
-39.8009 	 -17.8544 	 58.33 	 978485.64
-39.8289 	 -17.9115 	 77.27 	 978485.98
-39.8588 	 -17.974 	 64.52 	 978493.8
-39.6158 	 -16.0872 	 163.79 	 978368.76
-39.5667 	 -17.0935 	 85.16 	 978434.95
-38.0775 	 -12.6492 	 2.21 	 978317.94
-38.0353 	 -12.5703 	 13.45 	 978312.62
-38.2125 	 -12.7981 	 6.18 	 978319.69
-38.1414 	 -12.7094 	 -4.77 	 978318.21
-38.9967 	 -13.0894 	 -4.36 	 978281.84
-39.8424 	 -16.0805 	 240.75 	 978360.15
-39.0617 	 -13.3533 	 -7.42 	 978314.41
-39.2725 	 -12.9744 	 202.96 	 978213.98
-38.2532 	 -12.4749 	 98.79 	 978239.22
-38.275 	 -12.4536 	 69.82 	 978244.02
-38.4909 	 -12.5214 	 56.48 	 978224.99
-38.4122 	 -12.2359 	 187.52 	 978169.72
-38.398 	 -12.0713 	 213.27 	 978167.18
-38.3806 	 -12.0381 	 228.21 	 978165.15
-46.526 	 -11.4263 	 886.14 	 977978.17
-46.5307 	 -11.3802 	 889.49 	 977974.31
