LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-37.4917 	 -4.8106 	 45.8 	 978052.07
-39.9372 	 -6.6678 	 336.26 	 977993.08
-39.955 	 -6.7364 	 348.73 	 977994.36
-39.8011 	 -6.5644 	 295.33 	 978004.34
-40.6003 	 -6.2878 	 483.86 	 977948.73
-40.2256 	 -4.7389 	 308.19 	 977949.2
-39.7311 	 -5.1292 	 265.25 	 977993.61
-39.3706 	 -5.5856 	 166.46 	 978017.29
-38.3263 	 -5.4413 	 59.33 	 978066.29
-38.3467 	 -5.4523 	 89.78 	 978061.85
-38.8709 	 -4.1732 	 324.57 	 977995.36
-38.9472 	 -4.2118 	 796.57 	 977898.87
-38.935 	 -4.2406 	 777.75 	 977901.94
-38.9597 	 -4.2898 	 738.65 	 977908.59
-38.8136 	 -4.3662 	 96.03 	 978035.76
-38.7442 	 -4.3129 	 165.25 	 978027.49
-38.8034 	 -3.7873 	 72.64 	 978046.55
-38.8054 	 -3.772 	 75.35 	 978046.94
-38.8026 	 -3.7565 	 71.21 	 978048.34
-38.792 	 -3.7409 	 83.68 	 978045.52
-38.7651 	 -3.7184 	 47.78 	 978052.81
-38.7573 	 -3.7059 	 61.43 	 978050.64
-38.7562 	 -3.6868 	 50.64 	 978053.48
-38.7523 	 -3.6723 	 31.17 	 978059.01
-38.8623 	 -3.682 	 12.97 	 978066.99
-38.8562 	 -3.6654 	 15.65 	 978067.34
-38.8556 	 -3.6473 	 21.03 	 978068.82
-38.8531 	 -3.6282 	 15.3 	 978072.1
-38.849 	 -3.6098 	 23.4 	 978072.88
-38.8809 	 -3.7115 	 31.27 	 978060.97
-38.8848 	 -3.7376 	 30.35 	 978060.63
-38.8742 	 -3.747 	 33.89 	 978058.25
-38.8767 	 -3.762 	 36.39 	 978056.84
-38.2653 	 -4.1206 	 11.24 	 978066.18
-40.5894 	 -3.3219 	 76.18 	 978023.72
-38.8253 	 -6.9728 	 299.13 	 978014.3
-38.7158 	 -6.7719 	 273.41 	 978013.2
-38.7178 	 -6.7467 	 287.52 	 978008.16
-38.7176 	 -6.7296 	 270.4 	 978008.57
-38.7044 	 -6.7106 	 293.09 	 978004.04
-38.6975 	 -6.6858 	 299.49 	 978002.46
-38.6772 	 -6.6319 	 264.09 	 978002.83
-38.6578 	 -6.6158 	 281.86 	 977998.43
-38.6383 	 -6.5978 	 286.24 	 977999.42
-39.3014 	 -7.3169 	 404.18 	 977962.08
-39.1468 	 -7.2499 	 350.86 	 977975.87
-38.8678 	 -6.0892 	 237.21 	 978010.86
-38.8739 	 -5.9914 	 195.43 	 978019.66
-38.425 	 -3.8978 	 -3.06 	 978077.77
-39.6314 	 -4.5372 	 662.68 	 977909.28
-39.6392 	 -4.5544 	 492.18 	 977941.98
-40.3547 	 -3.6106 	 83.69 	 978011.89
-40.3497 	 -3.5436 	 80.88 	 978018.42
-38.7531 	 -7.4944 	 375.4 	 977985.85
-38.6233 	 -4.5967 	 93.16 	 978057.37
-38.6742 	 -4.6606 	 120.45 	 978050.21
-39.0758 	 -6.8397 	 294.38 	 978008.24
-39.0561 	 -6.8325 	 285.92 	 978010.69
-39.0328 	 -6.7981 	 270.74 	 978011.8
-39.1931 	 -6.8272 	 294.13 	 978004.21
-39.1017 	 -6.7394 	 282.59 	 978009.75
-39.0875 	 -6.7183 	 284.91 	 978004.99
-39.0644 	 -6.6789 	 267.53 	 978005.6
-38.97 	 -6.9428 	 259.0 	 978021.98
-38.9231 	 -6.9328 	 288.18 	 978016.97
-38.9031 	 -6.9456 	 299.59 	 978014.46
-38.8764 	 -6.9572 	 270.75 	 978020.35
-38.7297 	 -4.2245 	 80.71 	 978046.58
-38.6936 	 -4.1679 	 57.05 	 978049.08
-38.6172 	 -3.9868 	 51.31 	 978048.9
-38.8606 	 -3.5887 	 34.11 	 978053.0
-38.8231 	 -3.7108 	 20.37 	 978061.47
-38.3894 	 -3.9025 	 5.5 	 978076.31
-39.0323 	 -3.5679 	 19.78 	 978064.04
-39.0154 	 -3.5776 	 15.8 	 978065.51
-38.9851 	 -3.5951 	 17.84 	 978068.41
-38.954 	 -3.6054 	 7.42 	 978073.9
-38.8773 	 -3.5962 	 19.36 	 978074.64
-38.8651 	 -3.6109 	 16.92 	 978072.87
-38.8504 	 -3.6218 	 34.25 	 978068.56
-38.9329 	 -3.7545 	 40.28 	 978058.82
-38.9148 	 -3.7618 	 28.0 	 978061.67
-38.8845 	 -3.774 	 50.08 	 978055.5
-38.8684 	 -3.7804 	 40.15 	 978054.15
-38.852 	 -3.787 	 47.07 	 978052.81
-38.7314 	 -7.4908 	 465.21 	 977968.57
-39.0845 	 -3.4912 	 2.99 	 978064.33
-39.119 	 -3.4973 	 2.01 	 978066.08
-39.1004 	 -3.5037 	 51.09 	 978055.46
-39.0892 	 -3.5154 	 38.32 	 978059.42
-39.9022 	 -7.3314 	 874.74 	 977870.34
-39.9656 	 -7.3028 	 863.3 	 977867.33
-40.0161 	 -7.2803 	 854.53 	 977868.4
-40.0639 	 -7.2572 	 810.39 	 977879.33
-39.0492 	 -3.554 	 10.11 	 978064.4
-38.7751 	 -3.6501 	 3.3 	 978071.43
-38.7401 	 -3.6618 	 16.89 	 978064.43
-38.7245 	 -3.6751 	 11.49 	 978064.92
-38.7129 	 -3.6868 	 5.86 	 978065.95
-38.6854 	 -3.7132 	 9.38 	 978065.17
-38.6651 	 -3.7204 	 4.58 	 978068.44
-38.6434 	 -3.7243 	 13.06 	 978068.46
-38.6306 	 -3.6943 	 -2.42 	 978074.8
-39.1606 	 -3.4451 	 19.98 	 978061.51
-39.1423 	 -3.4709 	 6.32 	 978064.0
-39.1392 	 -3.4807 	 6.63 	 978063.43
-39.1401 	 -3.4915 	 3.81 	 978064.05
-39.1459 	 -3.5176 	 11.57 	 978061.3
-39.1145 	 -3.5437 	 14.29 	 978059.0
-39.1017 	 -3.5651 	 35.85 	 978055.86
-39.0167 	 -7.3019 	 383.84 	 977969.03
-38.9744 	 -7.3028 	 323.93 	 977983.95
-38.8472 	 -7.3575 	 370.16 	 977966.41
-38.7756 	 -7.3896 	 363.95 	 977975.76
-38.7722 	 -7.4047 	 355.19 	 977977.76
-38.7764 	 -7.4319 	 359.96 	 977974.16
-38.9678 	 -7.4258 	 373.12 	 977965.58
-38.8034 	 -6.7245 	 261.74 	 978011.94
-38.7552 	 -6.8074 	 309.63 	 978009.27
-38.7657 	 -7.0052 	 356.85 	 978001.4
-38.7828 	 -7.0556 	 354.78 	 977999.26
-38.9215 	 -4.5651 	 124.11 	 978029.35
-38.5169 	 -5.7481 	 145.18 	 978050.64
-38.6859 	 -6.2414 	 166.01 	 978036.4
-38.7039 	 -6.2636 	 145.86 	 978037.84
-38.8567 	 -6.4449 	 200.96 	 978024.83
-38.8565 	 -6.4706 	 200.43 	 978023.25
-38.8607 	 -6.4964 	 220.45 	 978018.67
-38.8592 	 -6.5543 	 245.25 	 978010.17
-38.8342 	 -3.7945 	 42.86 	 978054.08
-38.8176 	 -3.8134 	 53.75 	 978050.99
-38.8109 	 -3.8287 	 36.71 	 978054.25
-38.7906 	 -3.8284 	 30.34 	 978056.09
-40.9218 	 -3.8548 	 832.5 	 977859.83
-40.9086 	 -3.885 	 886.11 	 977845.99
-40.8868 	 -3.9195 	 863.97 	 977850.4
-40.8654 	 -4.0479 	 887.4 	 977841.01
-38.5389 	 -3.8256 	 14.47 	 978064.94
-38.5486 	 -3.8222 	 15.93 	 978063.03
