LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-47.8839 	 -15.9464 	 1090.54 	 978079.15
-47.7062 	 -15.6147 	 948.38 	 978102.5
-47.6203 	 -15.9402 	 1014.59 	 978098.25
-47.6014 	 -15.9461 	 1041.93 	 978092.48
-47.5443 	 -15.5455 	 1155.08 	 978059.68
-47.3521 	 -15.584 	 895.79 	 978113.13
-47.3796 	 -15.5786 	 902.07 	 978111.64
-47.4163 	 -15.5809 	 972.5 	 978098.81
-47.4457 	 -15.5833 	 982.11 	 978095.57
-47.4942 	 -15.579 	 1064.22 	 978074.69
-47.5523 	 -15.5815 	 1143.37 	 978064.37
-47.5747 	 -15.5872 	 1146.23 	 978063.83
-47.5322 	 -15.5233 	 1169.14 	 978054.83
-47.5607 	 -15.5665 	 1145.06 	 978061.75
-48.2614 	 -15.9044 	 968.6 	 978112.89
-48.2293 	 -15.8582 	 995.49 	 978105.16
-48.1706 	 -15.8623 	 984.73 	 978105.55
-48.1421 	 -15.864 	 998.67 	 978104.01
-48.2673 	 -15.83 	 1044.87 	 978094.49
-48.2187 	 -15.8222 	 1010.58 	 978097.97
-48.1793 	 -15.8163 	 1104.1 	 978078.7
-48.2234 	 -15.7812 	 1037.15 	 978091.56
-48.1821 	 -15.7806 	 1101.47 	 978077.9
-48.0574 	 -15.7803 	 1218.91 	 978054.05
-48.0988 	 -15.7801 	 1173.76 	 978065.18
-48.1359 	 -15.6963 	 1092.79 	 978076.28
-48.0974 	 -15.699 	 1207.7 	 978051.89
-48.0926 	 -15.6472 	 1187.29 	 978055.61
-48.151 	 -15.5752 	 992.65 	 978087.78
-48.0998 	 -15.6151 	 1219.42 	 978047.44
-48.095 	 -15.5718 	 1273.76 	 978031.57
-48.0521 	 -15.5718 	 1147.23 	 978054.26
-48.0547 	 -15.6172 	 1260.48 	 978039.4
-48.1075 	 -15.5415 	 1062.78 	 978069.42
-48.0529 	 -15.5269 	 922.35 	 978092.73
-48.0132 	 -15.5337 	 1184.08 	 978044.1
-47.5861 	 -15.9728 	 1022.22 	 978096.7
-47.5752 	 -15.99 	 1032.7 	 978095.57
-47.5541 	 -16.001 	 1020.91 	 978098.23
-47.4017 	 -15.9911 	 888.09 	 978128.02
-47.3973 	 -15.9625 	 890.47 	 978126.78
-47.3983 	 -15.9289 	 909.76 	 978122.36
-47.3961 	 -15.9154 	 912.52 	 978121.55
-47.3931 	 -15.8939 	 844.78 	 978135.83
-47.3886 	 -15.8692 	 875.73 	 978128.91
-47.3847 	 -15.8422 	 870.06 	 978130.49
-47.3815 	 -15.8152 	 908.04 	 978122.36
-47.3837 	 -15.765 	 942.63 	 978114.46
-47.3904 	 -15.7143 	 1008.56 	 978098.97
-47.3906 	 -15.6874 	 969.83 	 978106.19
-47.3794 	 -15.6677 	 916.77 	 978115.9
-47.3619 	 -15.6514 	 883.72 	 978121.25
-47.3548 	 -15.6052 	 952.55 	 978103.99
-47.3517 	 -15.5844 	 897.36 	 978112.79
-47.6107 	 -15.8993 	 1037.95 	 978092.86
-47.6172 	 -15.8769 	 1001.33 	 978101.04
-47.6316 	 -15.8253 	 1042.3 	 978090.45
-47.638 	 -15.8024 	 1029.01 	 978091.99
-47.6482 	 -15.778 	 944.59 	 978108.47
-47.66 	 -15.7571 	 931.25 	 978109.34
-47.6606 	 -15.7275 	 925.71 	 978108.87
-47.6517 	 -15.6853 	 906.91 	 978114.38
-47.6477 	 -15.661 	 922.15 	 978109.89
-47.6792 	 -15.6853 	 1021.14 	 978090.38
-48.2053 	 -15.6862 	 1078.24 	 978076.35
-48.1936 	 -15.6819 	 1083.23 	 978074.97
-48.202 	 -15.6541 	 1129.97 	 978063.57
-48.1997 	 -15.6294 	 1083.27 	 978070.64
-48.1919 	 -15.588 	 1003.16 	 978087.29
-48.1918 	 -15.5348 	 875.41 	 978106.45
-48.1911 	 -15.5258 	 864.81 	 978106.53
-47.9784 	 -15.9749 	 1203.74 	 978059.12
-47.9457 	 -15.9832 	 1185.28 	 978061.75
-47.9235 	 -15.981 	 1183.21 	 978061.09
-47.9109 	 -15.9766 	 1162.57 	 978065.27
-47.8878 	 -15.968 	 1125.32 	 978073.05
-47.8626 	 -15.9524 	 1121.36 	 978073.95
-47.7602 	 -15.9388 	 1009.04 	 978096.91
-47.348 	 -16.0299 	 865.4 	 978135.75
-47.3891 	 -16.0253 	 905.79 	 978126.35
-47.4238 	 -15.9892 	 905.29 	 978123.86
-47.4703 	 -16.0213 	 925.82 	 978119.44
-47.4755 	 -15.9887 	 905.08 	 978123.1
-47.513 	 -16.0268 	 938.47 	 978116.17
-47.5182 	 -15.9897 	 960.28 	 978110.55
-47.5976 	 -16.0279 	 990.24 	 978104.36
-47.8083 	 -15.5243 	 790.33 	 978128.85
-47.7654 	 -15.5275 	 787.55 	 978131.04
-47.7229 	 -15.529 	 842.88 	 978119.13
-47.6828 	 -15.5287 	 992.57 	 978088.71
-47.7807 	 -15.5082 	 755.22 	 978134.59
-47.385 	 -15.5737 	 912.71 	 978108.36
-47.4336 	 -15.5739 	 963.87 	 978098.45
-47.4758 	 -15.5743 	 1093.98 	 978067.49
-47.5175 	 -15.5668 	 1056.21 	 978081.33
-47.52 	 -15.6077 	 1068.39 	 978080.01
-47.4786 	 -15.6173 	 1101.67 	 978070.35
-47.4317 	 -15.6145 	 891.87 	 978117.54
-47.4319 	 -15.6601 	 914.45 	 978117.47
-47.4027 	 -15.6125 	 949.48 	 978105.44
-47.3588 	 -15.6144 	 939.95 	 978106.01
-47.5783 	 -15.5196 	 992.54 	 978088.61
-47.5229 	 -15.5205 	 1178.53 	 978052.79
-47.4784 	 -15.5257 	 1112.3 	 978058.94
-47.8481 	 -15.5289 	 825.72 	 978120.22
-48.0164 	 -15.5733 	 1274.45 	 978030.23
-47.9734 	 -15.5724 	 1163.74 	 978051.19
-47.8487 	 -15.5682 	 864.61 	 978116.79
-47.9288 	 -15.5713 	 882.76 	 978108.34
-47.8932 	 -15.5587 	 976.48 	 978092.23
-47.8885 	 -15.6036 	 892.76 	 978109.59
-47.8467 	 -15.6515 	 1078.72 	 978073.62
-47.9292 	 -15.6125 	 1209.08 	 978046.66
-47.9668 	 -15.6061 	 1207.68 	 978046.58
-47.8504 	 -15.6162 	 1071.16 	 978074.05
-47.809 	 -15.6157 	 1177.87 	 978056.37
-47.7653 	 -15.6524 	 1163.93 	 978060.64
-47.766 	 -15.6138 	 1183.92 	 978056.06
-47.4298 	 -15.5228 	 1034.18 	 978078.11
-48.099 	 -15.9471 	 1099.25 	 978084.24
-48.1436 	 -15.9423 	 968.82 	 978111.76
-48.1428 	 -15.9961 	 1004.87 	 978106.51
-48.0978 	 -15.9889 	 997.1 	 978104.13
-48.0549 	 -15.9884 	 1182.36 	 978067.88
-48.0235 	 -15.9884 	 1241.05 	 978054.32
-48.1404 	 -15.906 	 1058.19 	 978090.72
-48.227 	 -15.9478 	 939.82 	 978119.83
-48.1816 	 -15.946 	 1075.93 	 978091.9
-48.1814 	 -15.9873 	 1051.78 	 978098.86
-48.2259 	 -15.9886 	 1047.15 	 978101.8
-48.2215 	 -16.0249 	 1034.74 	 978104.94
-48.1762 	 -16.0283 	 1050.19 	 978099.85
-47.9357 	 -16.0393 	 1098.91 	 978080.67
-48.136 	 -16.0295 	 920.83 	 978124.25
-48.0972 	 -16.0285 	 964.35 	 978110.22
-47.9679 	 -15.9886 	 1169.17 	 978065.84
-47.6401 	 -15.9993 	 877.73 	 978125.48
-47.6912 	 -15.9074 	 843.94 	 978131.91
-47.8612 	 -15.7812 	 999.1 	 978092.42
-48.0111 	 -15.9044 	 1076.99 	 978086.48
-48.1824 	 -15.9048 	 972.91 	 978111.08
-48.2246 	 -15.9055 	 916.09 	 978123.35
-47.4322 	 -15.8213 	 876.06 	 978127.51
-47.4739 	 -15.8216 	 957.9 	 978111.19
-47.5152 	 -15.819 	 937.23 	 978114.85
-47.5584 	 -15.8218 	 905.83 	 978119.95
-47.5973 	 -15.7795 	 978.0 	 978103.87
-47.5962 	 -15.7376 	 1076.44 	 978081.95
-47.559 	 -15.7837 	 984.99 	 978103.29
-47.5579 	 -15.7389 	 1109.75 	 978077.05
-47.6035 	 -15.8224 	 970.32 	 978105.97
-47.5157 	 -15.7396 	 976.09 	 978102.43
-47.5184 	 -15.9152 	 943.25 	 978111.09
-47.4723 	 -15.7788 	 894.42 	 978122.63
-47.429 	 -15.7788 	 974.97 	 978106.39
-47.4721 	 -15.7379 	 916.93 	 978115.79
-47.5162 	 -15.6875 	 1159.21 	 978066.2
-47.5615 	 -15.696 	 1118.59 	 978074.48
-47.6021 	 -15.6964 	 1109.17 	 978076.03
-47.4734 	 -15.6943 	 1091.99 	 978080.66
-47.4325 	 -15.697 	 988.86 	 978102.34
-47.4302 	 -15.7387 	 990.5 	 978103.14
-47.3489 	 -15.7809 	 885.82 	 978127.05
-47.3506 	 -15.7377 	 908.96 	 978121.22
-47.3476 	 -15.69 	 918.13 	 978116.02
-47.6401 	 -15.6952 	 951.58 	 978103.4
-47.6837 	 -15.9915 	 862.09 	 978128.74
-47.6796 	 -16.0238 	 861.12 	 978128.35
-47.7225 	 -15.9913 	 925.52 	 978116.67
-47.7243 	 -16.0296 	 991.32 	 978102.95
-47.7608 	 -16.0306 	 885.23 	 978124.53
-47.7781 	 -15.9909 	 962.28 	 978108.06
-47.849 	 -16.0296 	 922.15 	 978108.53
-47.8491 	 -15.9885 	 1094.03 	 978078.35
-47.888 	 -15.9865 	 1124.69 	 978072.08
-47.844 	 -15.8646 	 1079.11 	 978080.67
-47.8086 	 -15.8643 	 1058.88 	 978083.23
-47.7642 	 -15.9044 	 889.01 	 978117.62
