LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-41.6954 	 -20.3111 	 834.86 	 978430.53
-41.7606 	 -20.284 	 580.51 	 978481.32
-39.9483 	 -18.8386 	 43.86 	 978557.9
-40.1347 	 -18.9543 	 66.55 	 978553.15
-40.1612 	 -19.0232 	 69.26 	 978555.25
-40.1678 	 -19.1789 	 72.13 	 978560.67
-40.1451 	 -19.2348 	 62.57 	 978565.69
-40.1024 	 -19.2725 	 46.53 	 978571.43
-40.9078 	 -20.8665 	 15.26 	 978647.41
-40.4796 	 -20.5242 	 16.26 	 978646.68
-40.491 	 -20.582 	 8.52 	 978652.07
-40.5303 	 -20.6281 	 13.05 	 978652.18
-40.5876 	 -20.6599 	 29.87 	 978645.72
-40.652 	 -20.6625 	 3.37 	 978643.99
-40.7109 	 -20.6974 	 57.5 	 978631.49
-40.7604 	 -20.7396 	 22.53 	 978639.44
-40.8043 	 -20.7913 	 3.42 	 978651.79
-40.2964 	 -19.8976 	 64.37 	 978593.28
-40.2724 	 -19.9564 	 -2.87 	 978619.82
-40.2404 	 -20.0079 	 36.07 	 978612.21
-40.4908 	 -20.6466 	 1.44 	 978660.62
-40.2972 	 -20.3039 	 -5.33 	 978648.22
-40.2982 	 -20.3619 	 -0.49 	 978652.37
-40.3285 	 -20.4169 	 -2.43 	 978653.53
-40.3792 	 -20.453 	 15.38 	 978649.13
-40.4342 	 -20.4793 	 37.24 	 978641.27
-40.2578 	 -19.6772 	 26.13 	 978589.0
-40.2785 	 -19.721 	 91.3 	 978578.37
-40.2818 	 -19.7826 	 74.73 	 978586.41
-40.2712 	 -19.8402 	 47.37 	 978595.72
-40.5281 	 -20.0992 	 9.97 	 978602.97
-40.4507 	 -20.1199 	 4.34 	 978614.4
-41.4883 	 -20.7531 	 108.45 	 978599.57
-41.4994 	 -20.7581 	 140.06 	 978592.63
-40.9663 	 -20.8789 	 6.32 	 978648.74
-41.0231 	 -20.8987 	 31.94 	 978644.03
-41.1601 	 -21.0265 	 27.96 	 978653.12
-41.2224 	 -21.0672 	 15.15 	 978655.89
-41.6397 	 -20.5984 	 686.61 	 978469.04
-41.6674 	 -20.5409 	 736.51 	 978453.52
-41.6052 	 -20.5108 	 774.24 	 978446.13
-41.5879 	 -20.4411 	 761.44 	 978445.81
-41.5372 	 -20.3801 	 648.04 	 978467.19
-41.5465 	 -20.3269 	 646.84 	 978461.68
-41.5949 	 -20.3584 	 692.78 	 978453.64
-41.2668 	 -21.1159 	 23.23 	 978659.32
-41.2977 	 -21.1758 	 16.97 	 978666.22
-41.5325 	 -20.7628 	 244.21 	 978574.83
-41.59 	 -20.7006 	 515.68 	 978510.39
-41.6195 	 -20.6421 	 687.15 	 978472.73
-40.8176 	 -20.4188 	 794.03 	 978459.85
-40.8796 	 -20.4202 	 821.47 	 978450.14
-41.0157 	 -20.3941 	 1101.46 	 978380.49
-41.0621 	 -20.3647 	 921.94 	 978417.87
-41.1337 	 -20.3277 	 730.1 	 978446.91
-41.1848 	 -20.3372 	 710.72 	 978449.17
-41.2235 	 -20.3158 	 712.59 	 978446.66
-41.2273 	 -20.2947 	 978.93 	 978392.86
-41.1993 	 -20.2144 	 534.87 	 978472.53
-41.1929 	 -20.1844 	 519.82 	 978472.25
-41.1448 	 -20.1519 	 437.19 	 978489.1
-41.131 	 -20.1197 	 392.41 	 978497.11
-41.1221 	 -20.0738 	 348.38 	 978503.2
-41.0876 	 -19.9233 	 195.64 	 978527.82
-41.0568 	 -19.9002 	 197.72 	 978530.01
-41.0829 	 -19.8605 	 208.95 	 978525.18
-41.1107 	 -19.8252 	 221.44 	 978519.37
-41.0471 	 -19.8444 	 176.62 	 978532.54
-40.9898 	 -19.8499 	 221.49 	 978524.61
-40.9604 	 -19.8791 	 252.96 	 978522.65
-40.9057 	 -19.8441 	 166.55 	 978540.32
-40.8123 	 -19.9191 	 364.56 	 978504.91
-40.7368 	 -19.961 	 680.64 	 978455.35
-41.0382 	 -20.0585 	 668.89 	 978444.26
-41.004 	 -20.1247 	 1062.13 	 978373.76
-40.9493 	 -20.1538 	 992.25 	 978396.04
-40.4262 	 -20.1916 	 65.76 	 978611.27
-40.6846 	 -19.9316 	 824.29 	 978430.18
-40.5526 	 -19.9533 	 633.81 	 978474.87
-40.5118 	 -19.9597 	 505.05 	 978499.22
-40.489 	 -19.9369 	 311.42 	 978534.56
-40.4323 	 -19.9355 	 91.84 	 978582.74
-40.4053 	 -19.9331 	 46.88 	 978594.78
-40.4944 	 -20.39 	 33.38 	 978627.33
-40.4598 	 -20.3827 	 8.91 	 978634.98
-40.3689 	 -20.2206 	 -0.65 	 978630.06
-40.3314 	 -20.2161 	 -0.7 	 978630.46
-40.8862 	 -20.1538 	 976.56 	 978401.44
-40.8851 	 -20.103 	 888.68 	 978414.48
-40.8357 	 -20.0677 	 810.74 	 978429.7
-40.7829 	 -20.0622 	 749.56 	 978444.1
-40.7835 	 -20.0849 	 797.79 	 978438.12
-40.7987 	 -20.1461 	 906.37 	 978419.76
-40.7601 	 -20.1891 	 832.04 	 978439.51
-40.8173 	 -20.233 	 728.95 	 978458.72
-40.804 	 -20.3169 	 691.18 	 978473.74
-40.7879 	 -20.3769 	 827.35 	 978452.97
-40.6646 	 -20.0516 	 648.1 	 978472.6
-40.6398 	 -20.0738 	 565.31 	 978489.25
-40.6068 	 -20.0799 	 391.05 	 978527.83
-40.6742 	 -20.4094 	 537.86 	 978519.71
-39.9955 	 -18.8827 	 38.9 	 978563.88
-41.1307 	 -20.3299 	 730.6 	 978447.35
-40.8329 	 -19.0467 	 125.78 	 978511.73
-40.4612 	 -19.9322 	 170.49 	 978564.96
-40.4076 	 -20.3444 	 18.59 	 978634.53
-40.9305 	 -18.307 	 259.05 	 978438.85
-40.5683 	 -18.1684 	 213.53 	 978453.44
-40.9107 	 -18.2509 	 227.53 	 978442.74
-40.8647 	 -18.2464 	 198.03 	 978448.69
-40.9499 	 -18.5717 	 214.97 	 978461.4
-40.9388 	 -18.6312 	 178.95 	 978474.26
-40.9116 	 -18.6793 	 167.64 	 978476.68
-40.8785 	 -18.804 	 196.83 	 978479.8
-40.9226 	 -18.8362 	 231.07 	 978472.4
-40.9249 	 -18.8877 	 382.89 	 978441.04
-40.9584 	 -18.921 	 529.39 	 978414.65
-41.0099 	 -18.9022 	 601.16 	 978398.99
-41.0522 	 -18.924 	 627.78 	 978393.79
-40.8941 	 -19.0588 	 301.07 	 978475.46
-40.7947 	 -18.8101 	 167.28 	 978489.25
-40.6767 	 -19.0939 	 140.49 	 978520.77
-40.5384 	 -19.0228 	 163.73 	 978519.39
-40.4364 	 -18.7378 	 174.18 	 978501.68
-40.4749 	 -18.7777 	 85.46 	 978518.1
-40.4749 	 -18.8402 	 125.93 	 978518.38
-40.4943 	 -18.8843 	 98.39 	 978525.05
-40.5119 	 -18.942 	 175.38 	 978515.15
-40.5313 	 -18.9892 	 116.11 	 978527.92
-40.5414 	 -19.0699 	 146.73 	 978524.7
-40.5822 	 -19.1034 	 89.12 	 978536.87
-40.9044 	 -19.1718 	 303.73 	 978481.94
-40.8734 	 -19.2161 	 201.09 	 978502.93
-40.8144 	 -19.2337 	 99.52 	 978529.89
-40.2668 	 -18.7761 	 126.03 	 978527.45
-40.7156 	 -18.8315 	 151.86 	 978495.91
-40.6804 	 -18.7933 	 126.24 	 978499.78
