LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-47.7815 	 -17.6386 	 871.26 	 978214.92
-47.7873 	 -17.4272 	 865.33 	 978202.99
-48.5797 	 -17.6686 	 695.44 	 978235.65
-48.1826 	 -16.1989 	 906.46 	 978129.99
-48.2598 	 -16.1475 	 1008.08 	 978111.66
-48.2581 	 -16.1978 	 998.61 	 978112.23
-48.2244 	 -16.1917 	 971.53 	 978117.77
-47.8585 	 -16.1129 	 909.06 	 978119.03
-47.8079 	 -16.0725 	 954.58 	 978109.59
-47.8498 	 -16.0722 	 905.84 	 978116.97
-47.8907 	 -16.0736 	 1014.44 	 978298.82
-47.8435 	 -16.1747 	 879.51 	 978126.93
-48.0121 	 -16.1597 	 856.44 	 978135.07
-48.0563 	 -16.1112 	 966.84 	 978114.12
-48.0557 	 -16.1986 	 877.39 	 978132.96
-48.2257 	 -16.1211 	 1018.39 	 978109.14
-47.93 	 -16.195 	 937.02 	 978117.81
-48.1359 	 -16.1541 	 943.63 	 978122.0
-48.1789 	 -16.1473 	 1014.2 	 978108.42
-47.9311 	 -16.1139 	 1001.99 	 978101.61
-48.1802 	 -16.1083 	 901.99 	 978132.2
-47.9313 	 -16.0719 	 1053.23 	 978090.08
-47.9739 	 -16.0722 	 1064.25 	 978087.35
-48.0159 	 -16.0717 	 1034.79 	 978095.27
-48.0986 	 -16.1966 	 869.91 	 978135.4
-48.1033 	 -16.1555 	 880.04 	 978133.14
-48.0993 	 -16.0718 	 898.93 	 978127.59
-48.09 	 -16.1131 	 974.08 	 978113.65
-48.015 	 -16.1136 	 891.49 	 978123.36
-47.9742 	 -16.1139 	 985.39 	 978104.01
-48.136 	 -16.109 	 964.75 	 978117.29
-47.9721 	 -16.1531 	 958.19 	 978112.9
-47.974 	 -16.1973 	 874.26 	 978130.99
-47.8911 	 -16.1944 	 907.23 	 978122.53
-48.0554 	 -16.1544 	 883.5 	 978131.26
-48.6417 	 -17.9828 	 614.81 	 978260.18
-49.0769 	 -17.2339 	 715.98 	 978220.79
-48.4106 	 -17.5436 	 702.35 	 978251.41
-48.5264 	 -17.6081 	 724.59 	 978236.9
-48.5442 	 -17.6292 	 697.41 	 978239.8
-50.4589 	 -18.4475 	 498.47 	 978391.44
-47.6076 	 -16.7531 	 1239.35 	 978096.46
-47.9008 	 -13.6767 	 575.26 	 978111.98
-48.1081 	 -13.5714 	 315.56 	 978165.58
-48.0481 	 -13.5603 	 371.69 	 978157.4
-47.9756 	 -13.6533 	 532.3 	 978125.8
-47.9256 	 -13.6639 	 538.4 	 978122.92
-47.7328 	 -17.6694 	 938.29 	 978206.6
-47.5975 	 -13.4861 	 1160.31 	 977969.73
-47.4847 	 -13.8464 	 811.18 	 978034.0
-47.5417 	 -13.8475 	 573.24 	 978084.92
-47.6017 	 -13.8642 	 517.71 	 978100.23
-47.655 	 -13.9125 	 517.8 	 978103.45
-47.7653 	 -13.9964 	 533.09 	 978113.7
-47.8125 	 -14.0431 	 484.47 	 978126.19
-47.8622 	 -14.0089 	 437.86 	 978138.63
-47.9814 	 -14.0197 	 512.19 	 978127.76
-48.0356 	 -14.0578 	 502.06 	 978134.72
-48.0758 	 -14.1044 	 568.08 	 978120.31
-47.0914 	 -13.4975 	 387.06 	 978112.14
-47.0647 	 -13.5464 	 400.49 	 978111.87
-47.0694 	 -13.6122 	 396.68 	 978115.83
-47.005 	 -13.6586 	 454.15 	 978109.78
-46.9653 	 -13.705 	 491.78 	 978110.37
-51.8944 	 -18.1244 	 830.48 	 978297.43
-51.9189 	 -18.1856 	 834.28 	 978296.47
-47.7531 	 -17.6503 	 938.65 	 978203.9
-47.7344 	 -17.7442 	 948.15 	 978211.2
-47.7786 	 -17.8572 	 806.08 	 978248.87
-47.855 	 -18.0333 	 938.11 	 978238.57
-47.9219 	 -18.17 	 870.48 	 978256.75
-52.6456 	 -17.08 	 571.23 	 978281.09
-46.3808 	 -13.8764 	 817.13 	 978070.54
-46.3486 	 -13.8506 	 669.29 	 978099.44
-46.3464 	 -13.8075 	 618.16 	 978108.56
-46.3483 	 -13.7628 	 646.19 	 978100.87
-46.3389 	 -13.7094 	 672.62 	 978094.12
