        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2019/08/30
----------------------------------------------------------------------
           modelname     EIGEN-6C4
     max_used_degree          2190
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points           607
      latlimit_north      -1.2011000000000    
      latlimit_south      -6.5519000000000    
      longlimit_west      -47.960600000000    
      longlimit_east      -41.900100000000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
 5 gravity                      [mGal]  gravity(h)                        
----------------------------------------------------------------------

end_of_head ================================================================
1            -44.32780000   -4.72940000  1.118000E+02  9.779981667662E+05
2            -44.33030000   -4.75030000  9.831000E+01  9.780022669395E+05
3            -44.35640000   -4.89810000  9.461000E+01  9.780039788726E+05
4            -44.37310000   -4.91360000  9.644000E+01  9.780037959164E+05
5            -44.44280000   -5.04140000  1.181400E+02  9.780028146387E+05
6            -46.10190000   -1.20110000 -1.670000E+00  9.780485561033E+05
7            -43.95470000   -4.53670000  2.754000E+01  9.780065708340E+05
8            -43.88640000   -4.46470000  4.094000E+01  9.780060372917E+05
9            -44.45940000   -5.16940000  6.904000E+01  9.780155895701E+05
10           -44.45780000   -5.16720000  7.418000E+01  9.780141496530E+05
11           -44.49060000   -5.28420000  8.807000E+01  9.780123151477E+05
12           -44.47030000   -5.30830000  8.381000E+01  9.780145017474E+05
13           -44.48000000   -5.32530000  8.545000E+01  9.780144164990E+05
14           -44.33670000   -4.63780000  6.849000E+01  9.780062405308E+05
15           -46.57970000   -4.30890000  4.982000E+01  9.779920837751E+05
16           -46.75360000   -4.41280000  1.369900E+02  9.779683887446E+05
17           -46.82170000   -4.45080000  2.038600E+02  9.779482394618E+05
18           -46.85640000   -4.49640000  1.698900E+02  9.779590960048E+05
19           -46.89670000   -4.56060000  1.774700E+02  9.779575996598E+05
20           -46.98670000   -4.69280000  2.374500E+02  9.779419802323E+05
21           -47.04110000   -4.75250000  1.823500E+02  9.779662708590E+05
22           -47.10860000   -4.77670000  3.007800E+02  9.779325507304E+05
23           -47.24810000   -4.81440000  2.845000E+02  9.779552314746E+05
24           -47.31360000   -4.85530000  2.504000E+02  9.779690515629E+05
25           -47.37970000   -4.89030000  1.842500E+02  9.779855574223E+05
26           -46.23530000   -4.37080000  2.351100E+02  9.779384895079E+05
27           -46.23220000   -4.44390000  2.898400E+02  9.779267458952E+05
28           -46.19580000   -4.49810000  2.144300E+02  9.779583194097E+05
29           -46.19780000   -4.61470000  3.023800E+02  9.779319250131E+05
30           -46.22190000   -4.65810000  2.835800E+02  9.779372806009E+05
31           -46.20750000   -4.72640000  3.297800E+02  9.779327178878E+05
32           -46.16250000   -4.77310000  2.969100E+02  9.779420835013E+05
33           -46.08610000   -4.87690000  1.052000E+02  9.780024017346E+05
34           -44.95860000   -4.16420000  1.539000E+01  9.780167553125E+05
35           -44.93140000   -4.03000000  3.870000E+00  9.780116111694E+05
36           -44.88940000   -3.97940000 -4.120000E+00  9.780076794055E+05
37           -44.86030000   -3.91670000 -4.080000E+00  9.780016442234E+05
38           -44.89810000   -3.83560000 -1.426000E+01  9.779973263806E+05
39           -44.89170000   -2.70310000 -2.432000E+01  9.779846436121E+05
40           -44.94030000   -2.65860000 -1.170000E+00  9.779658317733E+05
41           -44.97390000   -2.59470000 -1.071000E+01  9.779556838324E+05
42           -45.42060000   -3.71590000  3.350000E+00  9.779849085776E+05
43           -45.47220000   -3.79360000 -2.100000E-01  9.779886950681E+05
44           -45.53190000   -3.85440000 -4.320000E+00  9.779935499574E+05
45           -45.59140000   -3.91030000  1.117000E+01  9.779926469835E+05
46           -45.66110000   -3.96890000  3.114000E+01  9.779907932909E+05
47           -45.73390000   -4.01000000  2.991000E+01  9.779916644233E+05
48           -45.80750000   -4.05720000 -1.630000E+00  9.780010044797E+05
49           -45.88670000   -4.08170000  4.811000E+01  9.779837392206E+05
