LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-44.3278 	 -4.7294 	 111.8 	 977998.1
-44.3303 	 -4.7503 	 98.31 	 978002.15
-44.3564 	 -4.8981 	 94.61 	 978005.51
-44.3731 	 -4.9136 	 96.44 	 978004.99
-44.4428 	 -5.0414 	 118.14 	 978004.48
-46.1019 	 -1.2011 	 -1.67 	 978028.01
-43.9547 	 -4.5367 	 27.54 	 978006.41
-43.8864 	 -4.4647 	 40.94 	 978006.59
-44.4594 	 -5.1694 	 69.04 	 978017.95
-44.4578 	 -5.1672 	 74.18 	 978016.87
-44.4906 	 -5.2842 	 88.07 	 978016.0
-44.4703 	 -5.3083 	 83.81 	 978017.5
-44.48 	 -5.3253 	 85.45 	 978017.37
-44.3367 	 -4.6378 	 68.49 	 978004.78
-46.5797 	 -4.3089 	 49.82 	 977995.39
-46.7536 	 -4.4128 	 136.99 	 977971.31
-46.8217 	 -4.4508 	 203.86 	 977956.84
-46.8564 	 -4.4964 	 169.89 	 977964.35
-46.8967 	 -4.5606 	 177.47 	 977960.81
-46.9867 	 -4.6928 	 237.45 	 977948.27
-47.0411 	 -4.7525 	 182.35 	 977963.04
-47.1086 	 -4.7767 	 300.78 	 977933.84
-47.2481 	 -4.8144 	 284.5 	 977945.21
-47.3136 	 -4.8553 	 250.4 	 977959.82
-47.3797 	 -4.8903 	 184.25 	 977976.58
-46.2353 	 -4.3708 	 235.11 	 977939.66
-46.2322 	 -4.4439 	 289.84 	 977932.95
-46.1958 	 -4.4981 	 214.43 	 977955.28
-46.1978 	 -4.6147 	 302.38 	 977938.49
-46.2219 	 -4.6581 	 283.58 	 977943.72
-46.2075 	 -4.7264 	 329.78 	 977934.75
-46.1625 	 -4.7731 	 296.91 	 977944.3
-46.0861 	 -4.8769 	 105.2 	 977988.0
-44.9586 	 -4.1642 	 15.39 	 978003.88
-44.9314 	 -4.03 	 3.87 	 978000.69
-44.8894 	 -3.9794 	 -4.12 	 978005.87
-44.8603 	 -3.9167 	 -4.08 	 978003.74
-44.8981 	 -3.8356 	 -14.26 	 978003.12
-44.8917 	 -2.7031 	 -24.32 	 977982.88
-44.9403 	 -2.6586 	 -1.17 	 977969.0
-44.9739 	 -2.5947 	 -10.71 	 977959.0
-45.4206 	 -3.7159 	 3.35 	 977985.72
-45.4722 	 -3.7936 	 -0.21 	 977987.19
-45.5319 	 -3.8544 	 -4.32 	 977993.66
-45.5914 	 -3.9103 	 11.17 	 977993.05
-45.6611 	 -3.9689 	 31.14 	 977990.31
