LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-46.7077 	 -17.0618 	 578.8 	 978260.9
-46.6375 	 -16.9778 	 527.43 	 978267.9
-46.7065 	 -16.98 	 529.68 	 978266.74
-46.8588 	 -17.0299 	 595.23 	 978257.48
-46.6734 	 -17.3143 	 644.29 	 978261.14
-46.6302 	 -17.2057 	 554.33 	 978272.4
-46.6845 	 -17.1993 	 590.56 	 978265.85
-46.7904 	 -17.2029 	 618.59 	 978262.93
-46.4742 	 -17.2558 	 499.13 	 978284.84
-46.4574 	 -17.1982 	 519.66 	 978277.84
-46.381 	 -17.1989 	 520.05 	 978275.9
-46.311 	 -17.1134 	 522.25 	 978270.74
-46.0 	 -17.0 	 565.43 	 978263.06
-46.4578 	 -17.13 	 520.15 	 978274.6
-46.5244 	 -17.1297 	 519.83 	 978275.2
-46.5368 	 -17.2139 	 523.81 	 978278.29
-46.5392 	 -16.9647 	 519.89 	 978267.31
-46.5516 	 -17.0362 	 524.25 	 978270.31
-46.6144 	 -17.1168 	 536.71 	 978271.39
-46.7087 	 -17.1292 	 557.91 	 978269.44
-46.7272 	 -17.2171 	 609.28 	 978264.11
-46.5456 	 -17.8627 	 518.23 	 978263.87
-46.6949 	 -16.9098 	 563.07 	 978257.42
-46.7641 	 -17.1355 	 569.35 	 978267.44
-46.8691 	 -17.1256 	 633.04 	 978254.49
-46.2146 	 -16.875 	 540.03 	 978261.94
-46.2903 	 -16.8658 	 521.58 	 978265.14
-46.9481 	 -17.0685 	 673.25 	 978239.7
-46.464 	 -16.9529 	 516.55 	 978266.55
-42.3125 	 -21.4761 	 105.01 	 978650.83
-42.2758 	 -21.3921 	 297.26 	 978607.04
-42.2308 	 -21.3063 	 519.09 	 978560.43
-42.2289 	 -21.2597 	 390.07 	 978580.71
-42.1887 	 -21.2317 	 479.31 	 978562.27
-46.4434 	 -17.0437 	 517.18 	 978271.29
-46.3728 	 -17.0412 	 519.5 	 978269.71
-46.2996 	 -17.0294 	 512.26 	 978270.02
-46.2173 	 -17.0337 	 484.37 	 978277.49
-46.2944 	 -16.9827 	 513.34 	 978268.54
-46.3683 	 -16.9702 	 513.77 	 978268.25
-46.2306 	 -16.9709 	 495.26 	 978273.19
-46.2968 	 -16.9368 	 512.32 	 978267.4
-46.3726 	 -16.884 	 514.27 	 978265.54
-46.4461 	 -16.861 	 516.71 	 978263.99
-46.8861 	 -17.2412 	 709.67 	 978246.38
-42.2294 	 -21.1843 	 172.39 	 978615.01
-42.1434 	 -21.0204 	 297.83 	 978575.36
-42.1429 	 -20.9372 	 442.1 	 978546.02
-42.1094 	 -20.9365 	 355.88 	 978561.23
-42.0619 	 -20.9294 	 195.6 	 978587.21
-41.8943 	 -20.773 	 727.33 	 978482.0
-49.9383 	 -19.7439 	 474.82 	 978454.77
-47.2989 	 -17.4483 	 947.45 	 978203.47
-46.9576 	 -17.652 	 556.73 	 978292.18
-46.8827 	 -17.5071 	 609.79 	 978280.32
-46.8951 	 -17.4696 	 577.79 	 978283.89
-46.955 	 -17.4641 	 613.29 	 978276.13
-46.8874 	 -17.3685 	 557.66 	 978281.82
-46.8709 	 -17.2915 	 701.69 	 978250.47
-46.7934 	 -17.3124 	 631.83 	 978263.99
-46.7904 	 -17.3806 	 586.45 	 978275.51
-46.7896 	 -17.4526 	 577.8 	 978281.92
-46.7131 	 -17.5327 	 530.72 	 978289.69
-46.7965 	 -17.5354 	 594.63 	 978279.38
-46.8503 	 -17.5583 	 643.19 	 978271.93
