LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-51.948 	 -19.8964 	 430.24 	 978474.78
-51.9294 	 -19.9567 	 416.36 	 978478.44
-54.83 	 -18.7719 	 358.19 	 978465.31
-54.8221 	 -18.8066 	 345.94 	 978466.89
-54.8178 	 -18.8464 	 325.28 	 978470.49
-54.8449 	 -18.8919 	 322.29 	 978476.01
-54.83 	 -18.956 	 408.08 	 978461.04
-52.8263 	 -18.6995 	 828.82 	 978302.69
-52.884 	 -18.6732 	 842.89 	 978297.93
-51.7274 	 -19.1763 	 588.22 	 978391.96
-54.828 	 -19.0099 	 470.3 	 978448.52
-54.8021 	 -19.0551 	 444.78 	 978449.5
-54.7734 	 -19.096 	 449.4 	 978445.1
-54.7625 	 -19.1481 	 609.81 	 978412.41
-54.7465 	 -19.1979 	 684.13 	 978397.08
-54.7054 	 -19.2269 	 701.68 	 978391.61
-54.6655 	 -19.2585 	 700.59 	 978391.73
-54.637 	 -19.2925 	 694.93 	 978393.57
-54.6132 	 -19.3219 	 681.0 	 978399.94
-54.5675 	 -19.3963 	 618.26 	 978410.87
-51.8924 	 -19.541 	 540.32 	 978426.5
-54.7467 	 -17.7842 	 498.72 	 978374.08
-54.7239 	 -17.8268 	 464.63 	 978381.49
-54.6966 	 -17.8712 	 340.75 	 978406.6
-54.688 	 -17.9218 	 208.54 	 978442.65
-54.6782 	 -17.9749 	 324.04 	 978424.22
-54.5928 	 -18.1539 	 383.5 	 978415.46
-51.3719 	 -19.6296 	 423.05 	 978451.94
-51.4055 	 -19.567 	 430.74 	 978445.84
-51.4565 	 -19.5058 	 500.01 	 978431.8
-51.5485 	 -19.5501 	 499.03 	 978438.02
-51.5593 	 -19.5426 	 510.37 	 978438.31
-51.5932 	 -19.5021 	 518.01 	 978434.08
-51.7153 	 -19.4741 	 665.54 	 978404.07
-51.6906 	 -19.3249 	 491.65 	 978428.35
-51.2566 	 -19.6806 	 458.55 	 978453.16
-51.3353 	 -19.7134 	 407.11 	 978464.73
-51.3406 	 -19.671 	 375.3 	 978466.15
-51.4172 	 -19.6505 	 436.06 	 978451.92
-51.5068 	 -19.6561 	 493.33 	 978435.72
-51.5769 	 -19.6812 	 516.65 	 978428.23
-51.6439 	 -19.7068 	 442.19 	 978449.03
-51.7153 	 -19.7304 	 431.52 	 978459.44
-51.7947 	 -19.7731 	 555.25 	 978443.86
-54.535 	 -19.4366 	 627.19 	 978410.27
-54.4949 	 -19.4747 	 706.5 	 978396.78
-54.4623 	 -19.5248 	 718.31 	 978394.92
-54.4221 	 -19.5664 	 718.22 	 978399.79
-54.3918 	 -19.6067 	 688.63 	 978408.89
-54.3624 	 -19.6457 	 688.59 	 978408.43
-54.3509 	 -19.6956 	 669.05 	 978414.72
-54.3675 	 -19.7914 	 620.2 	 978433.15
-54.37 	 -19.8393 	 615.33 	 978438.14
-54.3836 	 -19.9749 	 640.88 	 978440.86
-54.371 	 -19.894 	 607.97 	 978441.71
-54.405 	 -20.0241 	 648.63 	 978442.6
-51.7769 	 -19.2183 	 716.64 	 978369.25
-51.8308 	 -19.2569 	 736.05 	 978366.39
-51.8462 	 -19.3168 	 725.87 	 978374.88
-51.8293 	 -19.3793 	 668.61 	 978396.96
-51.8133 	 -19.4407 	 755.03 	 978378.64
-54.6654 	 -18.3293 	 264.96 	 978449.07
-54.6667 	 -18.3787 	 261.65 	 978455.13
-54.6918 	 -18.4228 	 260.9 	 978461.37
-54.7148 	 -18.466 	 297.69 	 978459.49
-54.7486 	 -18.5478 	 204.89 	 978483.94
-54.7706 	 -18.589 	 230.14 	 978478.69
-54.7768 	 -18.6364 	 364.74 	 978453.67
-54.8092 	 -18.6747 	 385.72 	 978458.74
-54.8152 	 -18.7248 	 398.0 	 978456.77
-51.8655 	 -19.9775 	 489.28 	 978465.08
-51.829 	 -20.0305 	 462.7 	 978474.65
-51.8491 	 -20.0915 	 477.08 	 978475.09
-51.8203 	 -20.1531 	 465.28 	 978477.96
-54.6375 	 -18.1792 	 337.78 	 978423.61
-54.6847 	 -18.0316 	 335.09 	 978421.6
-54.6941 	 -18.0869 	 368.47 	 978414.26
-54.6872 	 -18.1412 	 380.36 	 978412.82
-54.6549 	 -18.2289 	 318.05 	 978428.38
-54.6667 	 -18.2817 	 271.72 	 978442.48
-51.8505 	 -19.4928 	 715.77 	 978384.64
-51.887 	 -19.6068 	 510.2 	 978437.85
-51.8878 	 -19.6744 	 523.09 	 978441.14
-51.9183 	 -19.7713 	 499.26 	 978454.69
-51.943 	 -19.8304 	 484.87 	 978458.96
-54.3286 	 -22.7255 	 392.33 	 978651.76
-54.2656 	 -22.744 	 392.03 	 978651.38
-54.2405 	 -22.7121 	 420.21 	 978637.97
-54.2418 	 -22.6533 	 386.61 	 978645.32
-54.2619 	 -22.5949 	 391.21 	 978642.31
-54.1487 	 -22.655 	 420.18 	 978628.61
-54.0661 	 -22.6499 	 387.66 	 978633.71
-54.2725 	 -23.4608 	 378.07 	 978702.52
-54.3459 	 -23.4702 	 368.08 	 978706.79
-54.4227 	 -23.4823 	 377.67 	 978709.93
-54.3958 	 -23.5391 	 367.1 	 978719.83
-54.4511 	 -23.5833 	 353.53 	 978719.93
-54.485 	 -23.6453 	 353.75 	 978732.78
-54.4584 	 -23.5963 	 400.77 	 978719.58
-54.1849 	 -23.4768 	 340.47 	 978714.54
-54.1112 	 -23.464 	 363.46 	 978709.32
-54.5708 	 -22.8133 	 394.96 	 978662.62
-54.5379 	 -22.7471 	 410.94 	 978655.64
-54.5047 	 -22.7004 	 428.41 	 978650.36
-54.4831 	 -22.6402 	 431.49 	 978647.21
-54.4559 	 -22.5778 	 455.14 	 978638.51
-54.4458 	 -22.5257 	 442.36 	 978638.27
-54.4554 	 -22.4754 	 433.7 	 978638.53
-54.4364 	 -22.4087 	 374.3 	 978646.55
-54.17 	 -22.4891 	 415.47 	 978626.65
-54.0868 	 -22.5145 	 381.61 	 978629.79
-54.012 	 -22.5211 	 343.56 	 978640.45
-54.6701 	 -23.5995 	 357.73 	 978721.77
-54.778 	 -23.5002 	 355.04 	 978711.32
-54.8515 	 -23.4998 	 327.77 	 978720.92
-54.9031 	 -23.4328 	 354.85 	 978715.72
-54.9664 	 -23.3842 	 339.29 	 978719.96
-55.0978 	 -23.3236 	 402.05 	 978706.27
-55.1583 	 -23.2612 	 435.54 	 978694.67
-51.8705 	 -19.7624 	 548.11 	 978444.47
-51.9084 	 -19.7461 	 544.1 	 978444.14
-51.7344 	 -19.7861 	 521.8 	 978445.64
-51.6638 	 -19.8201 	 513.19 	 978441.03
-51.5881 	 -19.8364 	 448.12 	 978450.27
-51.5591 	 -19.9009 	 384.88 	 978470.18
-51.5319 	 -19.9482 	 448.96 	 978462.3
-51.4582 	 -19.9676 	 371.51 	 978485.94
-51.3019 	 -19.9589 	 421.9 	 978475.0
-51.2334 	 -19.9951 	 407.75 	 978478.38
-51.1651 	 -20.0308 	 423.89 	 978475.56
-51.9209 	 -19.7728 	 498.5 	 978455.05
-51.9981 	 -19.8094 	 503.67 	 978456.07
-52.1331 	 -19.9291 	 427.54 	 978478.19
-52.2086 	 -19.9598 	 343.34 	 978498.18
-52.2856 	 -19.9909 	 396.31 	 978484.16
-52.3527 	 -19.9511 	 401.27 	 978483.24
-52.388 	 -19.8709 	 356.62 	 978487.31
-52.4002 	 -19.7943 	 417.07 	 978471.18
-52.4383 	 -19.7258 	 378.68 	 978469.27
-52.5223 	 -19.5983 	 385.85 	 978452.9
-52.2626 	 -20.0573 	 410.48 	 978485.2
-52.2502 	 -20.1266 	 413.39 	 978486.66
-52.2494 	 -20.1783 	 335.5 	 978507.62
-53.7114 	 -18.3256 	 418.99 	 978387.49
-53.3421 	 -22.4818 	 271.73 	 978681.06
-52.9083 	 -18.692 	 841.92 	 978297.26
-53.0459 	 -19.0729 	 630.51 	 978367.06
-53.1442 	 -19.2366 	 699.85 	 978359.43
-53.2382 	 -19.2635 	 637.5 	 978375.76
-53.3132 	 -19.3171 	 617.21 	 978386.48
-53.4017 	 -19.3294 	 634.36 	 978387.11
-53.4904 	 -19.3441 	 568.64 	 978405.93
-53.186 	 -18.4687 	 715.54 	 978322.98
-53.2668 	 -18.3337 	 825.53 	 978293.03
-53.2303 	 -18.2593 	 805.29 	 978293.81
-53.179 	 -18.2014 	 853.98 	 978277.85
-53.1201 	 -18.2181 	 847.92 	 978278.24
-53.1037 	 -18.2996 	 839.83 	 978285.67
-53.0787 	 -18.3514 	 810.93 	 978294.91
-53.0347 	 -18.4435 	 669.83 	 978325.14
-53.1222 	 -18.4463 	 684.33 	 978326.82
-53.6444 	 -19.6401 	 560.19 	 978424.28
-53.6909 	 -19.5706 	 658.54 	 978401.76
-53.7594 	 -19.5179 	 646.02 	 978401.59
-53.8874 	 -19.5214 	 611.19 	 978409.78
-53.81 	 -19.4826 	 647.35 	 978398.53
-53.7403 	 -19.4196 	 640.83 	 978396.47
-53.5714 	 -19.3729 	 458.6 	 978432.76
-52.9303 	 -19.0276 	 581.87 	 978368.06
-52.8473 	 -19.0174 	 663.53 	 978350.14
-52.7624 	 -19.0073 	 682.62 	 978345.54
-52.6754 	 -18.9971 	 677.98 	 978350.06
-52.5962 	 -18.9776 	 609.04 	 978368.17
-52.5256 	 -18.9556 	 627.0 	 978365.32
-52.4633 	 -18.9795 	 628.45 	 978366.82
-52.4056 	 -18.9996 	 516.91 	 978389.96
-52.34 	 -18.9847 	 579.69 	 978379.8
-52.9693 	 -18.9791 	 652.0 	 978352.28
-52.8992 	 -18.9267 	 694.78 	 978338.09
-52.8392 	 -18.9201 	 784.61 	 978319.44
-52.8853 	 -18.8546 	 777.83 	 978319.5
-52.9023 	 -18.7724 	 821.66 	 978305.18
-53.8 	 -20.3833 	 440.01 	 978488.71
-53.8014 	 -20.3317 	 439.62 	 978486.21
-53.8461 	 -20.2533 	 469.16 	 978475.07
