LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-58.7916 	 -11.4541 	 373.1 	 978142.29
-59.5608 	 -15.9978 	 283.77 	 978349.67
-54.8034 	 -14.7133 	 517.95 	 978169.33
-55.0782 	 -14.7173 	 390.88 	 978203.77
-54.8778 	 -14.963 	 459.99 	 978215.27
-54.9538 	 -15.0475 	 827.94 	 978154.82
-55.0434 	 -15.1221 	 742.76 	 978182.74
-54.9037 	 -15.0413 	 831.77 	 978151.0
-54.7982 	 -15.1209 	 854.62 	 978154.39
-54.7085 	 -15.1283 	 630.66 	 978200.19
-54.611 	 -15.1164 	 658.42 	 978191.43
-54.6919 	 -15.0642 	 781.9 	 978162.83
-54.874 	 -15.2022 	 730.62 	 978186.77
-54.7954 	 -15.2048 	 705.61 	 978188.39
-54.7105 	 -15.2083 	 641.29 	 978195.13
-54.7111 	 -15.293 	 662.88 	 978187.77
-54.7006 	 -15.3717 	 643.39 	 978192.39
-54.7917 	 -15.2891 	 673.07 	 978189.73
-54.8038 	 -15.3693 	 622.38 	 978199.53
-54.8775 	 -15.3771 	 642.34 	 978198.41
-54.7893 	 -15.459 	 662.43 	 978196.83
-54.7091 	 -15.4612 	 650.05 	 978195.78
-54.6259 	 -15.4586 	 618.02 	 978194.43
-54.5405 	 -15.3753 	 600.62 	 978196.56
-54.6225 	 -15.3735 	 606.54 	 978197.38
-54.6263 	 -15.2899 	 640.61 	 978189.95
-54.6175 	 -15.2098 	 629.46 	 978194.62
-54.5455 	 -15.2876 	 646.48 	 978188.05
-54.1161 	 -15.7076 	 689.78 	 978217.36
-54.1322 	 -15.79 	 700.47 	 978211.59
-54.1279 	 -15.8759 	 583.01 	 978228.35
-54.2154 	 -15.7895 	 695.63 	 978217.76
-54.2951 	 -15.7869 	 560.72 	 978245.68
-54.2004 	 -15.7108 	 688.52 	 978218.92
-54.2009 	 -15.9063 	 334.81 	 978288.52
-54.4573 	 -15.881 	 443.53 	 978254.72
-54.4579 	 -15.6391 	 503.64 	 978242.26
-54.465 	 -15.7065 	 444.82 	 978263.09
