LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-49.5414 	 -5.0539 	 76.89 	 978041.89
-49.7992 	 -4.8712 	 120.55 	 978030.98
-49.648 	 -4.231 	 76.01 	 978027.02
-49.3587 	 -4.8695 	 61.98 	 978022.07
-48.7862 	 -4.6549 	 176.87 	 977984.28
-48.8686 	 -5.8603 	 117.66 	 977998.84
-49.1223 	 -5.3624 	 76.68 	 978019.35
-48.0758 	 -4.7776 	 171.03 	 977986.67
-48.0669 	 -4.7791 	 185.0 	 977981.23
-49.1366 	 -5.3716 	 85.2 	 978018.01
-49.1356 	 -5.3492 	 61.16 	 978023.93
-50.9 	 -8.5367 	 237.77 	 978065.46
-55.7008 	 -4.2781 	 78.88 	 977978.07
-49.2307 	 -5.1525 	 64.13 	 978011.6
-49.2258 	 -4.9872 	 82.13 	 978009.85
-49.0246 	 -5.0697 	 88.69 	 977993.16
-49.2774 	 -5.2809 	 56.45 	 978019.38
-49.4658 	 -5.2897 	 96.07 	 978039.89
-48.9442 	 -5.4449 	 97.9 	 978009.99
-48.7644 	 -5.4478 	 87.08 	 978011.12
-49.1328 	 -4.8119 	 84.14 	 977982.02
-48.8709 	 -4.8576 	 162.31 	 977958.31
-49.1275 	 -5.4382 	 66.76 	 978023.71
-49.059 	 -5.3786 	 101.66 	 978012.22
-49.0809 	 -5.3031 	 56.52 	 978021.14
-49.1668 	 -5.3062 	 60.02 	 978020.09
-49.1777 	 -5.3826 	 59.2 	 978023.45
-49.4705 	 -5.4302 	 157.95 	 978038.93
-49.3244 	 -5.4332 	 144.25 	 978022.86
-49.4034 	 -5.6243 	 85.24 	 978056.79
-49.2339 	 -5.5357 	 67.81 	 978030.16
-48.8807 	 -5.6503 	 99.63 	 978002.34
-49.2614 	 -5.7129 	 86.41 	 978028.53
-49.0631 	 -5.0102 	 107.59 	 978010.67
-48.5673 	 -5.4716 	 111.55 	 978026.65
-48.3165 	 -5.7142 	 93.12 	 978040.79
-48.4677 	 -5.9644 	 145.62 	 978016.62
-48.6496 	 -5.7071 	 161.36 	 977982.8
-48.6354 	 -6.1268 	 161.07 	 977994.03
-48.5367 	 -6.3167 	 125.48 	 978027.04
-52.1813 	 -3.201 	 162.54 	 977953.81
