LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-37.1228 	 -7.7029 	 594.19 	 977968.66
-37.0446 	 -7.7132 	 573.6 	 977975.22
-37.1207 	 -7.5409 	 662.39 	 977947.54
-37.1249 	 -7.6295 	 573.82 	 977974.39
-37.0433 	 -7.8739 	 581.0 	 977977.36
-36.9589 	 -7.8759 	 546.75 	 977981.67
-36.7095 	 -7.9611 	 568.63 	 977955.44
-36.6297 	 -7.9645 	 673.75 	 977932.54
-36.6258 	 -7.8744 	 524.75 	 977979.42
-36.5411 	 -7.8755 	 523.31 	 977977.09
-36.4552 	 -7.8751 	 577.83 	 977963.11
-36.6325 	 -8.042 	 865.29 	 977888.39
-36.7071 	 -7.877 	 523.18 	 977978.65
-37.2086 	 -7.8697 	 644.83 	 977956.05
-37.291 	 -7.9577 	 712.78 	 977948.93
-37.0462 	 -7.7827 	 582.59 	 977972.49
-37.0413 	 -7.9629 	 589.2 	 977976.08
-36.9562 	 -7.9595 	 572.1 	 977974.62
-36.9507 	 -8.041 	 581.38 	 977971.91
-36.8692 	 -7.8774 	 528.64 	 977979.1
-36.8731 	 -7.7919 	 566.78 	 977976.35
-36.9566 	 -7.711 	 543.79 	 977987.93
-36.965 	 -7.7759 	 574.21 	 977983.02
-37.125 	 -7.7895 	 677.4 	 977946.96
-36.0414 	 -7.6247 	 421.86 	 978014.01
-36.1277 	 -7.7064 	 472.67 	 977995.36
-36.2077 	 -7.7104 	 459.8 	 977997.65
-36.2086 	 -7.6258 	 482.95 	 977998.08
-36.2026 	 -7.5516 	 704.05 	 977956.61
-36.1256 	 -7.5421 	 430.84 	 978013.7
-36.0397 	 -7.5418 	 401.44 	 978020.55
-35.96 	 -7.5395 	 358.68 	 978029.95
-35.875 	 -7.4588 	 329.62 	 978046.93
-35.79 	 -7.5412 	 406.58 	 978020.12
-35.7897 	 -7.6221 	 300.22 	 978041.83
-35.8754 	 -7.6261 	 340.76 	 978031.76
-35.9606 	 -7.6147 	 318.74 	 978032.85
-35.9573 	 -7.4591 	 359.43 	 978039.6
-35.8747 	 -7.5403 	 401.85 	 978022.3
-35.7114 	 -7.6203 	 418.17 	 978019.89
-35.7927 	 -7.7088 	 396.09 	 978020.39
-35.7057 	 -7.5433 	 331.1 	 978033.78
-35.625 	 -7.5415 	 256.17 	 978051.97
-35.5428 	 -7.5422 	 426.21 	 978021.37
-35.5434 	 -7.6242 	 550.29 	 977997.34
-35.6225 	 -7.6254 	 322.16 	 978040.91
-36.9613 	 -8.2911 	 751.72 	 977928.79
-36.9604 	 -8.2107 	 638.64 	 977953.51
-37.0293 	 -8.2164 	 698.28 	 977943.62
-36.8724 	 -8.2099 	 756.99 	 977921.84
-36.7082 	 -8.1164 	 681.16 	 977924.63
-36.7928 	 -8.1254 	 611.22 	 977946.48
-36.7909 	 -8.0422 	 587.52 	 977953.87
-36.7108 	 -8.0412 	 618.66 	 977941.35
-37.125 	 -8.1251 	 624.27 	 977973.01
-36.1217 	 -7.6244 	 405.16 	 978013.97
-36.0415 	 -7.7064 	 409.24 	 978011.59
-35.9527 	 -7.7096 	 374.83 	 978021.97
-35.8815 	 -7.7103 	 543.55 	 977990.33
-36.3157 	 -7.7324 	 471.42 	 977994.54
-36.7388 	 -7.8282 	 511.67 	 977983.92
-36.7793 	 -7.8473 	 499.75 	 977985.0
-36.7932 	 -7.8897 	 542.68 	 977972.68
-37.12 	 -7.9149 	 615.8 	 977974.68
-37.1199 	 -7.9373 	 606.67 	 977976.43
-37.1088 	 -7.9668 	 631.6 	 977970.95
-37.0991 	 -7.9919 	 624.17 	 977971.13
-37.0992 	 -8.0173 	 627.84 	 977969.64
-37.0051 	 -8.0458 	 649.56 	 977967.25
-37.0745 	 -8.094 	 614.0 	 977975.54
-37.0566 	 -8.1159 	 618.56 	 977971.29
-37.0398 	 -8.133 	 608.97 	 977970.08
-36.9561 	 -8.1447 	 608.36 	 977961.17
-36.9309 	 -8.1402 	 604.37 	 977960.12
-36.8396 	 -7.9864 	 537.7 	 977971.58
-36.788 	 -7.9376 	 515.13 	 977973.87
-36.8481 	 -8.0789 	 571.94 	 977962.55
-36.2153 	 -7.4614 	 423.82 	 978024.01
-36.2404 	 -7.4663 	 456.76 	 978017.79
-36.267 	 -7.4752 	 385.27 	 978031.16
-36.3329 	 -7.5586 	 428.45 	 978021.92
-36.3354 	 -7.5831 	 417.82 	 978023.65
-36.3356 	 -7.6022 	 376.9 	 978029.7
-36.5044 	 -7.7353 	 457.06 	 977996.88
-36.5261 	 -7.7517 	 465.69 	 977994.83
-36.6371 	 -7.7878 	 497.1 	 977986.94
-36.6165 	 -7.7706 	 486.92 	 977988.85
-36.7133 	 -7.8058 	 523.83 	 977982.36
-36.7633 	 -7.8322 	 509.93 	 977983.73
-36.7956 	 -7.865 	 496.35 	 977984.4
-36.8537 	 -8.0101 	 575.01 	 977965.13
-36.318 	 -7.6357 	 411.69 	 978013.21
-36.2908 	 -7.5019 	 451.7 	 978019.24
-35.9104 	 -7.3689 	 436.76 	 978021.36
-35.9877 	 -7.3954 	 430.31 	 978027.07
-36.0161 	 -7.4051 	 401.68 	 978031.66
-36.0399 	 -7.4183 	 421.63 	 978026.97
-36.11 	 -7.4659 	 375.2 	 978034.71
-36.1599 	 -7.4459 	 406.15 	 978028.31
-34.9503 	 -7.4797 	 61.5 	 978135.56
