LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-40.6467 	 -9.3475 	 392.11 	 978033.66
-39.926 	 -8.3673 	 371.38 	 978029.29
-35.8605 	 -8.298 	 532.37 	 977994.53
-40.6337 	 -9.1959 	 425.68 	 978021.55
-35.2381 	 -8.3628 	 103.88 	 978130.58
-35.2525 	 -8.3114 	 91.21 	 978127.12
-35.263 	 -8.2589 	 169.31 	 978106.84
-35.2649 	 -8.2044 	 294.53 	 978077.45
-35.2638 	 -8.1523 	 321.46 	 978065.58
-35.1452 	 -8.8991 	 -3.64 	 978193.77
-40.9605 	 -8.6766 	 463.27 	 978004.62
-40.8818 	 -8.7781 	 415.64 	 978010.67
-40.8244 	 -8.8252 	 403.24 	 978011.94
-35.1732 	 -8.7435 	 24.62 	 978179.01
-35.0637 	 -8.4002 	 4.16 	 978177.47
-35.0965 	 -8.4639 	 26.16 	 978180.1
-35.1243 	 -8.5133 	 18.28 	 978184.12
-35.0149 	 -8.3434 	 11.42 	 978162.13
-34.9839 	 -8.2387 	 5.81 	 978153.16
-34.9398 	 -8.1733 	 3.79 	 978147.19
-34.9946 	 -8.159 	 13.48 	 978161.33
-35.1414 	 -8.1751 	 104.94 	 978128.13
-35.1332 	 -8.2775 	 44.38 	 978151.55
-35.1433 	 -8.3401 	 84.43 	 978147.8
-35.0874 	 -8.3086 	 68.31 	 978155.3
-35.2078 	 -8.3601 	 97.24 	 978136.54
-40.7203 	 -8.9651 	 404.47 	 978009.75
-35.9935 	 -8.2998 	 544.46 	 977987.52
-35.6325 	 -8.2148 	 449.89 	 978017.18
-36.2832 	 -8.3343 	 616.29 	 977974.64
-34.9242 	 -8.12 	 3.0 	 978154.12
-34.8858 	 -8.0597 	 -2.6 	 978160.86
-34.9133 	 -8.0547 	 -1.37 	 978160.19
-34.9206 	 -8.0508 	 -0.47 	 978159.84
-34.9183 	 -8.1431 	 2.74 	 978149.68
-34.9181 	 -8.1389 	 2.9 	 978150.58
-34.9281 	 -8.1022 	 -0.65 	 978160.87
-34.9431 	 -8.0931 	 12.01 	 978161.16
-34.9339 	 -8.0897 	 3.35 	 978162.5
-34.9308 	 -8.0867 	 3.25 	 978161.97
-34.9225 	 -8.1264 	 2.77 	 978153.27
-34.9281 	 -8.1114 	 -0.51 	 978156.6
-34.92 	 -8.13 	 2.67 	 978152.38
-34.9175 	 -8.1317 	 3.18 	 978151.35
-34.9175 	 -8.1322 	 3.22 	 978151.27
-34.9175 	 -8.1325 	 3.14 	 978151.27
-34.9178 	 -8.1306 	 3.18 	 978151.49
-34.9211 	 -8.1544 	 6.12 	 978147.01
-34.9306 	 -8.1633 	 4.07 	 978147.25
-40.2981 	 -7.3581 	 808.99 	 977901.51
-40.5056 	 -9.3969 	 361.7 	 978041.33
-36.2358 	 -8.4878 	 530.78 	 978003.61
-36.2367 	 -8.4897 	 535.7 	 978002.63
-34.9183 	 -8.1342 	 2.42 	 978151.48
-34.9575 	 -8.1957 	 2.15 	 978150.28
-34.9431 	 -8.0678 	 -0.2 	 978161.2
-36.1367 	 -8.3233 	 547.26 	 977991.35
-36.2639 	 -8.5316 	 544.1 	 978010.41
-36.2742 	 -8.5558 	 544.11 	 978010.86
-36.2853 	 -8.5758 	 565.54 	 978007.07
-36.2992 	 -8.6158 	 605.7 	 977993.26
-36.3107 	 -8.6405 	 614.6 	 977990.15
-36.3582 	 -8.6648 	 658.66 	 977978.53
-36.3867 	 -8.6711 	 689.2 	 977970.96
-36.4289 	 -8.737 	 736.66 	 977967.34
-36.4289 	 -8.7628 	 707.48 	 977975.33
-36.4411 	 -8.7887 	 713.09 	 977976.09
-36.4542 	 -8.8068 	 677.15 	 977985.11
