LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-41.9361 	 -6.445 	 199.2 	 977999.5
-42.1658 	 -6.5508 	 228.2 	 977998.81
-41.0823 	 -8.215 	 348.41 	 978037.14
-41.4036 	 -7.2367 	 267.42 	 978021.04
-43.1219 	 -9.195 	 419.6 	 978047.07
-43.0617 	 -6.8681 	 136.11 	 978030.8
-43.0864 	 -6.9697 	 173.55 	 978021.42
-43.1522 	 -7.0889 	 188.15 	 978014.55
-43.1631 	 -7.1139 	 191.39 	 978011.35
-44.1961 	 -7.2186 	 227.93 	 977987.61
-43.0717 	 -7.8 	 408.5 	 977979.08
-43.095 	 -7.8019 	 365.0 	 977987.08
-43.1197 	 -7.7953 	 312.9 	 977996.45
-44.6375 	 -10.2289 	 317.17 	 978111.7
-43.0262 	 -7.6013 	 238.81 	 978010.61
-43.1269 	 -7.3003 	 240.02 	 978002.75
-43.1236 	 -7.3536 	 262.31 	 977998.61
-43.1042 	 -7.4847 	 275.24 	 977996.26
-43.0781 	 -7.3208 	 210.06 	 978012.59
-43.0317 	 -7.5969 	 264.35 	 978005.73
-43.1244 	 -7.4358 	 264.62 	 978000.03
-42.1242 	 -7.3858 	 245.0 	 978015.88
-42.1167 	 -7.4147 	 249.7 	 978015.28
-42.0719 	 -7.8625 	 199.24 	 978043.5
-42.9469 	 -8.1106 	 252.05 	 978032.26
-43.1353 	 -7.7794 	 297.9 	 977998.4
-41.9722 	 -9.0014 	 322.42 	 978046.92
-41.8861 	 -7.8294 	 250.98 	 978022.34
-41.3217 	 -6.9425 	 225.53 	 978011.49
-41.3225 	 -6.9472 	 230.14 	 978010.84
-44.6386 	 -10.2275 	 316.88 	 978111.7
-44.7983 	 -10.4308 	 343.21 	 978111.13
-43.0081 	 -6.7742 	 127.89 	 978031.58
-42.8953 	 -6.8419 	 199.15 	 978006.75
-42.7894 	 -6.6106 	 167.21 	 978011.27
-42.6153 	 -3.6767 	 33.16 	 978019.75
-42.6639 	 -3.6778 	 7.43 	 978027.59
-41.7426 	 -7.933 	 343.96 	 978012.21
-41.6314 	 -7.9239 	 293.77 	 978035.82
-42.663 	 -6.977 	 116.56 	 978019.68
-41.4211 	 -7.0967 	 217.24 	 978019.69
-41.8114 	 -7.7317 	 205.84 	 978047.03
-45.3306 	 -9.9403 	 485.11 	 978043.31
-45.3186 	 -10.0042 	 463.58 	 978053.37
-43.0889 	 -7.5086 	 285.64 	 977994.75
-42.9325 	 -6.8181 	 118.03 	 978028.1
-45.2386 	 -10.1194 	 692.5 	 978016.0
-42.5794 	 -3.6908 	 50.05 	 978013.2
-43.1261 	 -7.2456 	 220.68 	 978004.3
-43.1253 	 -7.2725 	 243.08 	 978001.01
-43.1275 	 -7.3264 	 207.91 	 978010.41
-43.1561 	 -7.1406 	 209.34 	 978003.36
-43.1489 	 -7.1664 	 209.38 	 978004.68
-43.1411 	 -7.1936 	 181.25 	 978012.41
-42.6719 	 -6.9714 	 123.18 	 978017.8
-42.6722 	 -6.9744 	 116.4 	 978019.35
-42.6664 	 -6.9736 	 115.83 	 978019.4
-42.2461 	 -6.5458 	 230.37 	 978001.47
-42.3569 	 -6.4556 	 400.88 	 977961.18
-43.0203 	 -6.7822 	 135.0 	 978029.58
-42.8128 	 -6.2953 	 80.89 	 978017.75
-42.8444 	 -6.2458 	 100.35 	 978015.31
-43.0753 	 -6.9453 	 130.33 	 978026.77
-43.0778 	 -6.9608 	 132.12 	 978026.69
-43.1303 	 -7.0389 	 193.95 	 978016.09
-43.1414 	 -7.0633 	 175.65 	 978018.08
-45.3397 	 -9.9139 	 495.72 	 978038.67
-42.5569 	 -7.13 	 130.68 	 978021.0
-42.8494 	 -6.2492 	 92.75 	 978017.05
