LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-51.9691 	 -22.8391 	 413.5 	 978674.15
-52.9806 	 -22.6648 	 271.06 	 978696.94
-52.9672 	 -22.7189 	 294.89 	 978694.02
-52.9892 	 -22.7625 	 354.48 	 978681.47
-52.999 	 -22.6366 	 262.02 	 978697.48
-52.9968 	 -22.798 	 339.93 	 978685.92
-52.9872 	 -22.8369 	 322.06 	 978691.0
-51.0644 	 -22.7961 	 331.35 	 978661.22
-53.1631 	 -22.7238 	 312.73 	 978682.29
-48.5086 	 -25.5192 	 5.79 	 978967.86
-48.508 	 -25.5157 	 4.36 	 978967.77
-48.5636 	 -25.562 	 10.79 	 978966.64
-48.5092 	 -25.7611 	 3.59 	 978990.22
-48.5417 	 -25.8458 	 3.22 	 978987.32
-52.893 	 -22.9109 	 472.41 	 978662.74
-52.8628 	 -22.9261 	 460.39 	 978666.03
-52.8285 	 -22.9294 	 481.17 	 978660.73
-52.5945 	 -22.9913 	 443.69 	 978670.03
-52.6691 	 -22.9573 	 450.81 	 978665.15
-52.1869 	 -23.1607 	 528.86 	 978668.44
-52.1545 	 -23.0223 	 475.59 	 978671.56
-52.0588 	 -22.8922 	 347.24 	 978694.85
-52.4557 	 -23.078 	 459.52 	 978678.44
-52.365 	 -23.0987 	 518.11 	 978670.16
-52.342 	 -23.1086 	 476.59 	 978679.88
-52.2851 	 -23.1413 	 485.86 	 978677.62
-52.2579 	 -23.1622 	 506.72 	 978673.34
-52.2403 	 -23.1727 	 527.84 	 978669.01
-52.1887 	 -23.2138 	 551.79 	 978666.86
-52.1727 	 -23.2388 	 562.78 	 978664.87
-51.909 	 -22.8126 	 394.4 	 978674.16
-52.1266 	 -23.2923 	 581.07 	 978659.79
-51.7924 	 -22.7329 	 377.37 	 978668.19
-51.8141 	 -22.7475 	 343.13 	 978676.49
-54.5739 	 -25.4153 	 190.06 	 978895.5
-54.56 	 -25.4411 	 233.45 	 978887.05
-54.5811 	 -25.4089 	 230.77 	 978884.35
-54.5725 	 -25.5539 	 212.87 	 978901.2
-53.129 	 -22.7248 	 325.03 	 978682.01
-53.0497 	 -22.6806 	 290.08 	 978692.19
-53.0191 	 -22.6226 	 263.68 	 978694.6
-53.0144 	 -22.8159 	 346.41 	 978684.96
-52.9661 	 -22.86 	 347.72 	 978685.63
-52.945 	 -22.8817 	 351.89 	 978685.8
-52.638 	 -22.9652 	 491.29 	 978656.94
-52.8054 	 -22.9284 	 461.07 	 978665.34
-48.8816 	 -25.3501 	 459.76 	 978847.96
-48.5342 	 -25.8187 	 3.29 	 978989.5
-48.5706 	 -25.8678 	 5.86 	 978982.17
-48.573 	 -25.8768 	 6.03 	 978982.34
-48.5792 	 -25.9226 	 4.07 	 978980.11
-52.0088 	 -23.3945 	 551.52 	 978663.63
-51.9831 	 -23.4136 	 563.72 	 978662.77
-52.7325 	 -22.9388 	 454.1 	 978663.47
