LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-44.0274 	 -22.5816 	 383.27 	 978656.86
-43.9777 	 -22.5813 	 433.42 	 978650.28
-43.9353 	 -22.6056 	 469.32 	 978648.69
-44.1711 	 -22.6025 	 404.47 	 978646.45
-44.1558 	 -22.6469 	 486.36 	 978638.46
-44.0936 	 -22.6583 	 536.96 	 978634.51
-44.1408 	 -22.7426 	 460.53 	 978659.7
-44.1591 	 -22.7884 	 592.75 	 978639.58
-44.7094 	 -23.1236 	 -0.74 	 978763.62
-44.7081 	 -23.1739 	 8.44 	 978772.88
-44.7133 	 -23.2178 	 -3.72 	 978782.68
-44.7331 	 -23.2231 	 2.09 	 978780.12
-44.687 	 -23.2616 	 41.83 	 978781.32
-44.714 	 -23.3099 	 68.1 	 978783.26
-44.2434 	 -22.8608 	 639.84 	 978632.81
-44.281 	 -22.8927 	 14.05 	 978753.95
-44.5403 	 -23.0272 	 0.63 	 978761.59
-44.5006 	 -23.0236 	 34.83 	 978754.3
-44.4658 	 -23.0042 	 50.87 	 978749.1
-44.5961 	 -23.0447 	 -2.26 	 978759.67
-44.6656 	 -23.0481 	 -0.79 	 978752.33
-44.7064 	 -23.0994 	 -0.29 	 978758.48
-44.1235 	 -22.5597 	 434.73 	 978638.15
-44.0985 	 -22.5893 	 455.63 	 978639.63
-41.3792 	 -21.784 	 1.45 	 978715.86
-41.4209 	 -21.8357 	 4.15 	 978720.12
-41.4885 	 -21.8265 	 20.11 	 978713.67
-41.559 	 -21.8689 	 28.4 	 978715.98
-41.6085 	 -21.9074 	 23.72 	 978719.09
-41.3393 	 -21.544 	 54.62 	 978693.63
-41.3393 	 -21.481 	 42.98 	 978692.44
-41.3468 	 -21.4188 	 82.79 	 978677.68
-41.3338 	 -21.3541 	 42.91 	 978677.12
-41.3186 	 -21.2926 	 14.33 	 978677.49
-41.3152 	 -21.2284 	 8.47 	 978672.02
-43.1843 	 -22.8947 	 -4.63 	 978793.16
-44.5333 	 -22.5508 	 489.51 	 978613.62
-44.5328 	 -22.5711 	 542.46 	 978605.06
-44.55 	 -22.5692 	 499.61 	 978612.79
-44.5725 	 -22.5603 	 487.35 	 978613.07
-44.5522 	 -22.5539 	 483.02 	 978614.25
-44.5381 	 -22.5331 	 454.71 	 978617.67
-44.3683 	 -22.4344 	 385.0 	 978621.03
-44.3389 	 -22.4611 	 408.22 	 978622.75
-44.3783 	 -22.4603 	 391.67 	 978623.93
-44.3017 	 -22.4608 	 396.41 	 978627.96
-44.3128 	 -22.4578 	 397.05 	 978626.63
-44.3372 	 -22.4667 	 686.48 	 978566.94
-44.3586 	 -22.4792 	 391.81 	 978622.77
-44.3783 	 -22.4792 	 443.29 	 978616.51
-41.3328 	 -21.7517 	 4.57 	 978718.89
-41.4128 	 -21.7144 	 6.2 	 978709.74
-44.3764 	 -22.4986 	 506.42 	 978604.88
-44.2867 	 -22.3911 	 417.43 	 978618.66
-44.305 	 -22.3739 	 439.2 	 978616.9
-44.3397 	 -22.3681 	 432.81 	 978615.24
-44.3361 	 -22.3853 	 424.41 	 978618.93
-44.3306 	 -22.4125 	 387.1 	 978622.22
-44.3397 	 -22.4064 	 395.6 	 978622.16
-44.3578 	 -22.4086 	 386.92 	 978624.54
-44.3247 	 -22.3994 	 389.53 	 978623.3
-44.2031 	 -22.4072 	 441.76 	 978620.35
-44.1833 	 -22.3956 	 422.68 	 978623.36
-44.205 	 -22.3844 	 418.89 	 978622.97
-44.2061 	 -22.3597 	 572.97 	 978593.33
-44.2283 	 -22.3722 	 543.11 	 978597.75
-44.2386 	 -22.4028 	 426.33 	 978621.0
-44.2275 	 -22.43 	 416.07 	 978624.51
-44.2339 	 -22.4492 	 416.55 	 978625.43
-44.2467 	 -22.3922 	 412.37 	 978620.68
-44.4567 	 -22.4422 	 357.56 	 978620.38
-44.4667 	 -22.4286 	 410.3 	 978619.81
-44.4758 	 -22.4058 	 483.82 	 978602.77
-44.4825 	 -22.4003 	 456.97 	 978607.62
-44.4928 	 -22.4106 	 501.53 	 978599.32
-44.4897 	 -22.4356 	 454.08 	 978607.8
-44.4747 	 -22.4433 	 444.48 	 978610.63
-43.2297 	 -22.8864 	 -3.3 	 978792.77
-43.1668 	 -22.8974 	 -3.5 	 978793.12
-43.1665 	 -22.8969 	 -3.34 	 978793.19
-43.3089 	 -22.8194 	 2.12 	 978782.35
-43.1822 	 -22.8306 	 55.5 	 978766.73
-43.1822 	 -22.8306 	 56.7 	 978766.31
-43.1881 	 -22.9869 	 -1.51 	 978805.01
-43.1889 	 -22.9861 	 -2.33 	 978804.61
-43.1914 	 -22.9831 	 -2.59 	 978803.24
-43.3064 	 -22.8097 	 -1.49 	 978782.76
-43.1889 	 -22.9881 	 0.35 	 978803.47
-43.2039 	 -22.9856 	 -0.27 	 978803.5
-43.2131 	 -22.9806 	 -3.63 	 978803.13
-43.2133 	 -22.9792 	 -4.53 	 978803.45
-43.1919 	 -22.9775 	 -2.57 	 978802.42
-43.1889 	 -22.975 	 -2.29 	 978802.06
-43.1836 	 -22.9686 	 -0.51 	 978800.39
-43.1794 	 -22.9542 	 -2.55 	 978799.35
-43.1761 	 -22.9531 	 -2.33 	 978798.8
-43.1669 	 -22.9556 	 0.36 	 978796.76
-43.1661 	 -22.9547 	 -0.87 	 978797.09
-43.1806 	 -22.9419 	 -3.61 	 978798.8
-43.1822 	 -22.9497 	 -3.47 	 978798.65
-43.1844 	 -22.9381 	 1.35 	 978797.17
-43.1781 	 -22.9331 	 -1.12 	 978797.46
-43.1767 	 -22.9272 	 -3.19 	 978796.62
-43.1761 	 -22.9167 	 -2.25 	 978796.12
-43.1708 	 -22.9139 	 -2.23 	 978794.52
-43.1758 	 -22.9097 	 2.95 	 978793.24
-43.1733 	 -22.9047 	 -3.38 	 978793.82
-43.1744 	 -22.9008 	 -3.19 	 978792.74
-43.1658 	 -22.8967 	 -3.37 	 978792.96
-43.1667 	 -22.8972 	 -3.34 	 978793.13
-43.1792 	 -22.8958 	 -3.65 	 978793.06
-43.1797 	 -22.8953 	 -3.65 	 978793.01
-43.1961 	 -22.8919 	 -3.57 	 978793.2
-43.2106 	 -22.8981 	 -3.53 	 978794.84
-43.2161 	 -22.8867 	 -3.57 	 978793.31
-43.2111 	 -22.8767 	 -2.37 	 978789.81
-43.2197 	 -22.8764 	 -3.84 	 978790.89
-43.2256 	 -22.8806 	 -3.26 	 978790.64
-43.1328 	 -22.8814 	 14.9 	 978785.29
-43.1297 	 -22.8836 	 -3.63 	 978789.17
-43.1322 	 -22.905 	 0.04 	 978789.7
-43.0947 	 -22.9219 	 -1.79 	 978792.7
-43.1067 	 -22.935 	 -0.91 	 978794.76
-43.1139 	 -22.93 	 -4.38 	 978795.34
-44.3006 	 -22.4417 	 381.34 	 978630.6
-44.2806 	 -22.4236 	 383.16 	 978630.76
-44.2608 	 -22.4067 	 386.72 	 978627.56
-44.2636 	 -22.3867 	 426.68 	 978618.57
-44.2628 	 -22.3694 	 469.76 	 978611.68
-44.2622 	 -22.4228 	 424.31 	 978622.94
-44.2808 	 -22.4422 	 445.58 	 978618.4
-44.2644 	 -22.47 	 385.08 	 978633.03
-44.2539 	 -22.4428 	 461.84 	 978615.53
-44.3203 	 -22.4439 	 406.37 	 978622.59
-44.3006 	 -22.4228 	 386.54 	 978625.22
-44.3006 	 -22.4083 	 387.23 	 978623.4
-44.3383 	 -22.4431 	 387.8 	 978623.31
-44.3556 	 -22.4258 	 392.59 	 978618.92
-44.4978 	 -22.4489 	 409.64 	 978616.47
-44.4414 	 -22.4436 	 443.78 	 978613.27
-44.435 	 -22.3825 	 421.12 	 978616.01
-44.4581 	 -22.3783 	 483.4 	 978602.02
-44.4183 	 -22.3883 	 415.93 	 978617.66
-44.4425 	 -22.4281 	 458.69 	 978609.31
-44.42 	 -22.4189 	 403.21 	 978621.38
-44.4017 	 -22.3864 	 421.29 	 978617.68
-44.3694 	 -22.4431 	 388.76 	 978621.7
-44.3769 	 -22.4439 	 387.87 	 978621.81
-44.4014 	 -22.4264 	 398.58 	 978620.44
-44.3978 	 -22.4431 	 405.19 	 978620.12
-44.4108 	 -22.445 	 394.55 	 978624.36
-44.4564 	 -22.4597 	 390.13 	 978622.51
-44.4864 	 -22.4694 	 398.62 	 978622.55
-44.4761 	 -22.4828 	 400.03 	 978622.7
-44.5 	 -22.4847 	 396.46 	 978622.46
-44.4933 	 -22.4953 	 443.84 	 978615.1
-44.4711 	 -22.4975 	 413.85 	 978623.19
-44.4567 	 -22.4786 	 416.63 	 978620.79
-44.4481 	 -22.4953 	 414.33 	 978623.12
-44.4292 	 -22.4969 	 428.09 	 978620.79
-44.4372 	 -22.4764 	 428.43 	 978619.11
-44.4167 	 -22.4758 	 402.51 	 978624.94
-44.4139 	 -22.495 	 479.92 	 978609.8
-44.4044 	 -22.4994 	 439.75 	 978619.33
-43.0244 	 -22.8547 	 22.3 	 978772.93
-43.1147 	 -22.9353 	 -3.23 	 978795.84
-43.0875 	 -22.8378 	 18.82 	 978779.11
