LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-35.2798 	 -5.7662 	 58.62 	 978097.11
-36.8208 	 -5.332 	 22.21 	 978088.36
-36.7578 	 -5.2873 	 2.75 	 978082.68
-36.6295 	 -5.2302 	 20.36 	 978081.48
-36.5986 	 -5.19 	 3.81 	 978090.8
-36.5547 	 -5.1687 	 18.34 	 978089.79
-36.4694 	 -5.2072 	 33.82 	 978087.8
-36.4247 	 -5.2271 	 33.65 	 978093.84
-36.3047 	 -5.2774 	 50.46 	 978085.96
-36.2164 	 -5.3156 	 58.84 	 978078.67
-36.1747 	 -5.3342 	 87.51 	 978069.04
-35.3795 	 -5.7044 	 66.25 	 978086.89
-35.3538 	 -5.7375 	 52.64 	 978091.0
-35.2261 	 -5.8821 	 28.14 	 978107.66
-35.2327 	 -6.1154 	 13.45 	 978117.66
-35.2262 	 -6.1589 	 78.65 	 978100.16
-35.2153 	 -6.2125 	 94.22 	 978096.66
-35.1633 	 -6.3529 	 58.98 	 978098.6
-35.1184 	 -6.4313 	 58.33 	 978098.56
-35.1124 	 -6.4811 	 66.64 	 978100.1
-37.1169 	 -5.5188 	 114.61 	 978071.35
-36.1255 	 -5.3571 	 111.62 	 978065.92
-36.3393 	 -5.2625 	 45.31 	 978088.92
-36.4052 	 -5.6711 	 18.65 	 978093.47
-35.2647 	 -5.9197 	 51.96 	 978097.07
-35.1891 	 -6.3076 	 92.08 	 978093.88
-37.2088 	 -4.9621 	 9.95 	 978065.27
-37.6296 	 -4.9683 	 56.82 	 978048.98
-37.7695 	 -5.3016 	 122.12 	 978064.03
-37.5446 	 -5.2802 	 71.25 	 978076.04
-36.5074 	 -5.684 	 119.25 	 978051.07
-36.4825 	 -5.6779 	 132.0 	 978049.77
-36.4048 	 -5.6872 	 142.33 	 978045.81
-36.307 	 -5.6902 	 170.65 	 978038.67
-36.2414 	 -5.6798 	 192.89 	 978033.46
-36.2105 	 -5.6425 	 188.91 	 978035.52
-36.1939 	 -5.6206 	 195.42 	 978034.32
-36.1853 	 -5.6074 	 201.5 	 978032.27
-36.1681 	 -5.5882 	 187.48 	 978034.28
-36.1279 	 -5.5691 	 184.81 	 978031.55
-35.9988 	 -5.557 	 179.1 	 978033.75
-35.9503 	 -5.5296 	 208.95 	 978028.66
-36.2778 	 -5.6909 	 217.26 	 978029.0
-36.2329 	 -5.6574 	 186.65 	 978035.55
-36.0722 	 -5.5826 	 162.75 	 978038.72
-35.9668 	 -5.5363 	 191.35 	 978029.43
-35.8687 	 -5.5244 	 153.57 	 978049.53
-35.8463 	 -5.521 	 142.63 	 978052.22
-36.5955 	 -5.1509 	 14.64 	 978093.95
-37.4272 	 -4.9114 	 21.13 	 978056.55
-37.3698 	 -5.0036 	 44.94 	 978055.66
-37.3384 	 -5.1047 	 49.86 	 978067.27
-37.348 	 -5.1489 	 11.54 	 978080.06
-37.1775 	 -5.4632 	 107.23 	 978052.7
-37.0818 	 -5.5425 	 35.24 	 978089.33
-37.0444 	 -5.5675 	 45.33 	 978087.3
-36.8746 	 -5.5634 	 17.39 	 978086.35
-36.8613 	 -5.5209 	 13.52 	 978089.0
-36.8539 	 -5.477 	 11.52 	 978089.94
-36.7977 	 -5.3725 	 24.67 	 978091.41
-36.5687 	 -5.150428 	 4.864 	 978096.25
-35.80485 	 -5.505789 	 157.183 	 978053.23
-35.74111 	 -5.561011 	 105.428 	 978073.24
-35.24874 	 -5.777376 	 0.623 	 978108.66
-35.20757 	 -5.837266 	 45.879 	 978105.59
-37.31852 	 -5.213604 	 24.757 	 978069.66
