LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-65.8114 	 -9.6661 	 161.04 	 978160.74
-65.7375 	 -9.6583 	 177.52 	 978155.93
-65.6725 	 -9.6528 	 158.91 	 978152.18
-65.6031 	 -9.6464 	 139.86 	 978145.59
-65.5367 	 -9.6572 	 155.72 	 978134.44
-65.4867 	 -9.6644 	 125.21 	 978136.44
-64.9406 	 -10.7167 	 175.91 	 978168.66
-64.8872 	 -10.7089 	 167.96 	 978168.88
-66.4414 	 -9.7844 	 159.56 	 978160.65
-66.5242 	 -9.7975 	 150.16 	 978158.08
-66.6072 	 -9.7567 	 187.97 	 978142.79
-66.7586 	 -9.7622 	 181.56 	 978144.76
-64.9744 	 -10.6853 	 173.5 	 978177.2
-61.1094 	 -11.6058 	 269.33 	 978169.2
-61.3151 	 -11.7259 	 277.33 	 978211.05
-59.8456 	 -12.3481 	 521.17 	 978155.35
-59.869 	 -12.3992 	 527.08 	 978156.8
-59.8976 	 -12.4421 	 562.57 	 978139.97
-59.9486 	 -12.4591 	 596.85 	 978125.58
-59.9908 	 -12.4893 	 596.31 	 978121.56
-60.0394 	 -12.518 	 598.83 	 978119.05
-60.08 	 -12.5657 	 611.98 	 978120.44
-60.0898 	 -12.6132 	 595.02 	 978130.54
-60.0989 	 -12.6528 	 613.34 	 978130.3
-60.115 	 -12.6944 	 599.58 	 978132.1
-61.9019 	 -11.2733 	 184.13 	 978190.32
-61.9013 	 -11.2054 	 189.58 	 978185.83
-61.9018 	 -11.1224 	 180.23 	 978177.13
-61.9247 	 -11.0128 	 170.47 	 978165.42
-61.9196 	 -10.954 	 157.79 	 978160.44
-61.3024 	 -11.4997 	 193.17 	 978187.88
-61.2391 	 -11.5003 	 248.73 	 978181.1
-61.1684 	 -11.5012 	 238.94 	 978183.86
-61.1043 	 -11.5021 	 252.64 	 978169.63
-60.9931 	 -11.5016 	 327.87 	 978141.05
-61.0108 	 -11.4571 	 303.16 	 978141.86
-61.0606 	 -11.4184 	 261.59 	 978152.73
-61.0472 	 -11.3642 	 322.07 	 978139.31
-61.0116 	 -11.312 	 255.17 	 978144.5
-60.9718 	 -11.2665 	 216.28 	 978145.57
-60.9608 	 -11.2328 	 218.79 	 978142.99
-61.0531 	 -11.5754 	 241.75 	 978169.65
-63.4215 	 -9.0005 	 100.36 	 978173.61
-63.4379 	 -9.1212 	 155.71 	 978163.7
-63.4748 	 -9.17 	 102.95 	 978171.39
-63.4633 	 -9.2908 	 105.6 	 978162.71
-63.4201 	 -9.3475 	 111.25 	 978157.34
-63.4079 	 -9.4049 	 134.37 	 978150.75
-63.4112 	 -9.4572 	 154.46 	 978153.0
-63.9406 	 -8.8518 	 140.74 	 978107.14
-63.9639 	 -8.9089 	 97.61 	 978111.85
-63.9946 	 -8.9696 	 106.62 	 978113.22
-64.0441 	 -9.0728 	 103.66 	 978131.16
-64.1008 	 -9.1058 	 122.2 	 978114.2
-64.1587 	 -9.1396 	 132.02 	 978109.28
-64.2766 	 -9.2036 	 130.14 	 978104.83
-64.3352 	 -9.2098 	 91.92 	 978109.31
-64.3778 	 -9.2508 	 90.41 	 978106.83
-64.5068 	 -9.2751 	 111.72 	 978102.59
-64.5639 	 -9.2907 	 113.13 	 978100.37
-64.6164 	 -9.3184 	 151.86 	 978091.91
-64.7001 	 -9.429 	 110.53 	 978094.64
-61.3771 	 -11.7264 	 274.38 	 978208.49
-61.4504 	 -11.7262 	 232.81 	 978214.38
-61.5209 	 -11.7262 	 249.31 	 978211.65
-61.5951 	 -11.7267 	 238.77 	 978214.42
-61.6804 	 -11.7266 	 222.98 	 978216.0
-61.5498 	 -11.6762 	 230.9 	 978217.52
-61.5472 	 -11.6039 	 238.12 	 978205.49
-61.4995 	 -11.5594 	 239.89 	 978199.06
-61.475 	 -11.4982 	 215.15 	 978195.2
-61.4634 	 -11.4335 	 199.66 	 978205.02
-61.2451 	 -11.6352 	 209.71 	 978202.48
-61.2994 	 -11.6364 	 199.77 	 978207.81
-61.3131 	 -11.762 	 279.62 	 978214.26
-61.3186 	 -11.6523 	 223.22 	 978208.23
-61.9702 	 -11.2 	 192.94 	 978193.77
-62.0372 	 -11.2017 	 261.2 	 978170.12
-62.1053 	 -11.205 	 288.64 	 978157.01
-62.1584 	 -11.2207 	 232.24 	 978165.93
-62.2413 	 -11.3014 	 198.36 	 978181.74
-62.2883 	 -11.3484 	 210.2 	 978199.06
-62.334 	 -11.3019 	 205.93 	 978184.79
-62.3549 	 -11.1715 	 207.77 	 978163.21
-62.3639 	 -11.1313 	 219.25 	 978163.56
-62.4163 	 -11.1042 	 226.83 	 978161.76
-62.5061 	 -11.0366 	 246.62 	 978146.55
-61.9973 	 -10.8466 	 189.83 	 978161.32
-62.0366 	 -10.7932 	 179.04 	 978165.19
-62.1626 	 -10.7541 	 193.38 	 978170.89
-62.224 	 -10.7408 	 253.69 	 978156.97
-62.2663 	 -10.6966 	 283.26 	 978159.27
-62.3115 	 -10.6416 	 255.4 	 978154.36
-62.3967 	 -10.5357 	 193.78 	 978176.28
-62.4277 	 -10.4921 	 183.41 	 978179.25
-62.47 	 -10.4356 	 175.43 	 978183.4
-62.5886 	 -10.3496 	 195.76 	 978177.6
-62.6496 	 -10.303 	 215.64 	 978175.02
-66.3603 	 -9.7714 	 166.98 	 978163.5
