LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-54.3744 	 -29.1052 	 396.75 	 979145.18
-54.3225 	 -29.0958 	 346.94 	 979156.22
-54.2786 	 -29.1222 	 363.24 	 979153.35
-54.2353 	 -29.1535 	 404.93 	 979146.33
-54.1875 	 -29.2222 	 458.06 	 979139.53
-53.8569 	 -29.3177 	 452.64 	 979146.63
-53.9297 	 -29.2877 	 385.43 	 979154.53
-53.9717 	 -29.2585 	 385.15 	 979155.03
-54.0158 	 -29.2883 	 372.54 	 979165.55
-54.1064 	 -29.3474 	 372.66 	 979173.12
-54.1669 	 -29.313 	 326.72 	 979179.18
-54.1453 	 -29.3772 	 408.41 	 979167.68
-54.1864 	 -29.4627 	 230.63 	 979211.3
-54.0575 	 -29.6685 	 145.76 	 979244.8
-54.1261 	 -29.6616 	 120.06 	 979249.51
-54.2008 	 -29.5933 	 179.59 	 979232.16
-54.2219 	 -29.5002 	 129.56 	 979236.74
-54.2403 	 -29.6341 	 154.28 	 979245.41
-54.2958 	 -29.6372 	 159.61 	 979248.01
-54.3633 	 -29.6449 	 165.59 	 979243.4
-54.4733 	 -29.6658 	 16.43 	 979251.34
-53.8472 	 -29.6222 	 227.73 	 979226.13
-53.9578 	 -29.5222 	 417.49 	 979173.76
-54.0405 	 -29.4894 	 383.94 	 979180.16
-54.1239 	 -29.5247 	 207.31 	 979222.39
-53.8389 	 -29.6705 	 107.35 	 979250.9
-53.8636 	 -29.5755 	 190.02 	 979229.31
-53.9008 	 -29.5061 	 457.45 	 979163.15
-54.0942 	 -29.4866 	 284.27 	 979203.05
-54.9542 	 -28.4591 	 193.98 	 979135.01
-54.9536 	 -28.5052 	 187.55 	 979138.15
-54.9611 	 -28.5488 	 155.0 	 979250.56
-54.9378 	 -28.5924 	 198.58 	 979148.39
-54.9383 	 -28.638 	 212.84 	 979151.02
-54.9253 	 -28.7347 	 268.49 	 979151.2
-54.9297 	 -28.7777 	 178.55 	 979173.31
-54.9383 	 -28.8219 	 164.76 	 979182.32
-54.9394 	 -28.8719 	 182.24 	 979186.93
-54.9517 	 -28.9235 	 266.18 	 979174.63
-54.9686 	 -28.9672 	 349.63 	 979159.89
-54.9175 	 -29.0891 	 384.87 	 979153.3
-54.9144 	 -29.0435 	 376.16 	 979154.64
-54.515 	 -28.1444 	 299.45 	 979085.76
-54.5653 	 -28.1513 	 302.36 	 979083.29
-54.4644 	 -28.131 	 272.28 	 979090.99
-55.5039 	 -28.2297 	 164.99 	 979136.51
-55.6072 	 -28.2019 	 16.4 	 979147.88
-55.6394 	 -28.1827 	 15.84 	 979147.04
-55.0467 	 -28.1977 	 185.16 	 979114.4
-55.1614 	 -28.2102 	 194.77 	 979116.22
-55.2175 	 -28.2122 	 126.36 	 979132.1
-55.2653 	 -28.1855 	 168.83 	 979121.36
-55.3617 	 -28.1922 	 110.53 	 979137.0
-55.4192 	 -28.2022 	 136.59 	 979136.84
-54.8747 	 -28.7422 	 270.53 	 979152.04
-54.8253 	 -28.7608 	 251.31 	 979159.37
-54.7383 	 -28.816 	 306.81 	 979152.57
-54.7075 	 -28.8591 	 324.83 	 979152.56
-54.6922 	 -28.9038 	 347.88 	 979151.84
-54.6197 	 -28.8422 	 295.36 	 979158.54
-54.6597 	 -28.9572 	 396.02 	 979144.52
-54.5767 	 -28.8163 	 224.13 	 979172.4
-54.4725 	 -28.8108 	 340.82 	 979145.18
-54.4353 	 -28.851 	 362.24 	 979141.24
-54.3919 	 -28.8924 	 350.36 	 979145.18
-54.3592 	 -28.5399 	 363.42 	 979102.89
-54.3244 	 -28.5802 	 358.97 	 979113.91
-54.2186 	 -28.6563 	 390.41 	 979118.7
-54.3278 	 -28.6522 	 316.82 	 979134.58
-54.3642 	 -28.6847 	 297.58 	 979144.22
-54.4083 	 -28.7224 	 276.32 	 979154.44
-54.6122 	 -28.1313 	 254.09 	 979092.37
-54.6636 	 -28.1258 	 295.06 	 979086.69
-54.715 	 -28.1208 	 246.57 	 979095.48
-54.7675 	 -28.1222 	 276.77 	 979092.07
-54.82 	 -28.1197 	 255.71 	 979095.72
-54.9239 	 -28.1258 	 170.24 	 979114.68
-54.9775 	 -28.111 	 198.72 	 979109.68
-54.9778 	 -28.3591 	 193.31 	 979126.26
-54.9633 	 -28.3122 	 208.15 	 979118.31
-54.9844 	 -28.2163 	 182.45 	 979116.6
-55.003 	 -28.1702 	 140.04 	 979121.25
-55.0125 	 -28.1249 	 182.06 	 979111.97
-55.0792 	 -28.0558 	 114.1 	 979118.16
-55.1114 	 -28.0077 	 162.64 	 979105.96
-55.1275 	 -27.9641 	 286.92 	 979077.47
-55.2775 	 -28.4716 	 195.11 	 979132.78
-55.313 	 -28.4355 	 181.03 	 979132.87
-55.3272 	 -28.3916 	 180.73 	 979133.35
-55.3719 	 -28.3652 	 159.81 	 979139.58
-55.4172 	 -28.2788 	 180.72 	 979136.01
-55.4478 	 -28.241 	 164.92 	 979139.26
-54.3233 	 -28.1974 	 351.73 	 979079.01
-54.3094 	 -28.2427 	 302.67 	 979090.05
-54.8767 	 -28.3627 	 226.03 	 979121.37
-54.8339 	 -28.3397 	 310.78 	 979101.78
-53.3353 	 -27.8788 	 551.6 	 979011.45
-54.2128 	 -29.2697 	 433.09 	 979154.25
-53.1453 	 -29.1827 	 401.18 	 979153.88
-53.0669 	 -29.2461 	 330.53 	 979171.64
-53.0625 	 -29.2888 	 262.43 	 979186.84
-53.0822 	 -29.3355 	 377.22 	 979167.01
-53.7558 	 -29.2844 	 498.11 	 979139.38
-53.8047 	 -29.3072 	 472.2 	 979144.28
-54.5967 	 -28.3708 	 270.31 	 979117.21
-54.8247 	 -28.3002 	 273.56 	 979106.7
-54.8161 	 -28.2563 	 231.29 	 979112.62
-54.7778 	 -28.2266 	 189.63 	 979120.08
-54.7442 	 -28.1913 	 180.77 	 979118.2
-54.7244 	 -28.151 	 199.37 	 979108.7
-54.7547 	 -28.108 	 263.99 	 979091.34
-54.7589 	 -28.0644 	 179.81 	 979100.92
-54.7553 	 -28.0194 	 268.15 	 979074.85
-54.7553 	 -27.973 	 215.39 	 979080.53
-54.7461 	 -27.9222 	 301.34 	 979063.77
-54.768 	 -27.8813 	 304.53 	 979063.68
-54.733 	 -27.8491 	 298.23 	 979065.2
-54.9392 	 -28.0972 	 204.35 	 979105.87
-54.9383 	 -28.0463 	 204.78 	 979099.69
-54.8955 	 -28.0197 	 159.6 	 979103.24
-54.8478 	 -27.9977 	 188.6 	 979093.77
-54.8069 	 -27.9619 	 245.66 	 979077.37
-54.7533 	 -27.9449 	 306.45 	 979062.26
-54.7003 	 -27.9335 	 313.41 	 979062.47
-54.6467 	 -27.9352 	 284.44 	 979069.2
-54.5961 	 -27.9244 	 343.61 	 979057.99
-54.5422 	 -27.9105 	 267.15 	 979074.6
-54.4953 	 -27.8819 	 240.09 	 979081.07
-54.4833 	 -27.8355 	 314.09 	 979066.42
-54.4783 	 -27.7891 	 304.63 	 979066.3
-54.5041 	 -27.7472 	 324.69 	 979060.32
-54.6508 	 -28.3527 	 205.08 	 979131.02
-54.645 	 -28.3058 	 279.76 	 979111.74
-53.3778 	 -27.8469 	 615.97 	 978992.48
-54.6058 	 -28.2183 	 190.59 	 979107.03
-54.5539 	 -28.1219 	 288.03 	 979084.99
-54.5439 	 -28.0777 	 277.53 	 979084.28
-54.5442 	 -28.0333 	 349.93 	 979065.12
-54.5422 	 -27.9413 	 303.04 	 979066.71
-54.5066 	 -27.9091 	 309.33 	 979066.75
-55.5881 	 -28.7374 	 126.97 	 979173.83
-53.4175 	 -27.8138 	 607.82 	 978994.16
-55.5355 	 -28.568 	 133.64 	 979152.07
-55.5453 	 -28.5235 	 102.21 	 979157.11
-55.5419 	 -28.4619 	 118.82 	 979153.64
-55.525 	 -28.4188 	 91.47 	 979159.75
-55.6314 	 -28.4927 	 110.02 	 979158.67
-55.6594 	 -28.541 	 126.77 	 979163.09
-54.4847 	 -28.736 	 304.12 	 979151.63
-53.9028 	 -28.3466 	 309.95 	 979110.93
-53.8997 	 -28.3022 	 281.08 	 979110.48
-53.9053 	 -28.2013 	 385.85 	 979082.51
-53.8539 	 -28.1672 	 344.53 	 979089.58
-53.8736 	 -28.2472 	 319.7 	 979097.51
-53.7728 	 -28.2416 	 340.4 	 979093.64
-52.8952 	 -28.1224 	 610.57 	 979022.03
-52.9511 	 -28.1163 	 576.97 	 979024.93
-53.0441 	 -28.0749 	 546.04 	 979024.88
-53.0822 	 -28.0452 	 479.19 	 979033.95
-53.1083 	 -28.0049 	 465.55 	 979032.98
-53.153 	 -27.9791 	 546.22 	 979021.44
-54.9392 	 -29.0127 	 348.34 	 979161.02
-54.7458 	 -29.0749 	 369.08 	 979154.69
-54.8003 	 -29.1155 	 364.13 	 979157.31
-54.8589 	 -29.1853 	 413.42 	 979148.2
-54.895 	 -29.1305 	 420.7 	 979147.88
-54.0492 	 -28.9102 	 507.83 	 979097.01
-54.2847 	 -28.2891 	 221.13 	 979108.55
-54.2341 	 -28.2822 	 307.72 	 979086.52
-54.1897 	 -28.2616 	 320.28 	 979083.42
-54.1378 	 -28.2402 	 329.16 	 979088.02
-54.0828 	 -28.2466 	 316.01 	 979098.53
-54.0339 	 -28.2605 	 265.08 	 979111.02
-53.9572 	 -28.343 	 296.17 	 979110.93
-53.49 	 -28.3069 	 459.36 	 979061.75
-53.4819 	 -28.2566 	 492.88 	 979050.78
-53.4664 	 -28.1544 	 541.33 	 979036.01
-53.4297 	 -28.1158 	 559.34 	 979028.96
-53.3625 	 -28.0363 	 585.29 	 979016.99
-53.3253 	 -27.9485 	 611.08 	 979008.73
-54.0755 	 -28.0849 	 421.57 	 979056.53
-54.0861 	 -28.0413 	 369.6 	 979064.72
-54.1269 	 -27.9522 	 413.5 	 979051.89
-54.15 	 -27.911 	 389.64 	 979049.89
-54.1739 	 -27.8702 	 363.34 	 979049.45
-54.2155 	 -27.7894 	 359.32 	 979049.77
-54.2439 	 -27.751 	 347.43 	 979053.3
-54.263 	 -27.7085 	 353.82 	 979053.16
-53.885 	 -28.1244 	 438.93 	 979065.47
-53.8572 	 -28.0772 	 477.31 	 979052.79
-53.5669 	 -27.758 	 490.54 	 979002.5
-54.0928 	 -28.9055 	 525.41 	 979094.05
-54.1497 	 -28.8952 	 487.9 	 979102.45
-53.9158 	 -28.3894 	 334.66 	 979108.46
-54.0211 	 -27.9516 	 374.71 	 979063.1
-54.038 	 -27.9938 	 393.2 	 979062.0
-54.3103 	 -28.0091 	 353.1 	 979061.36
-54.2636 	 -27.9858 	 318.16 	 979065.96
-54.2116 	 -27.9724 	 338.17 	 979063.5
-54.1641 	 -27.9538 	 395.39 	 979053.93
-54.1166 	 -27.9683 	 429.12 	 979049.89
-53.4478 	 -27.7674 	 599.26 	 978991.14
-53.615 	 -27.773 	 560.78 	 978989.0
-53.4897 	 -27.6766 	 554.9 	 978987.63
-53.5353 	 -27.6591 	 552.87 	 978985.49
