LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-48.6465 	 -26.7711 	 11.94 	 979044.96
-48.892 	 -27.2905 	 25.17 	 979056.66
-48.8917 	 -27.1634 	 101.93 	 979028.81
-48.931 	 -26.9477 	 20.18 	 979039.23
-48.699 	 -28.2951 	 3.07 	 979172.08
-48.4973 	 -27.5569 	 31.28 	 979112.28
-48.4782 	 -27.4763 	 29.55 	 979102.27
-48.4829 	 -27.5088 	 38.93 	 979106.22
-48.5316 	 -27.4474 	 29.62 	 979087.45
-48.4744 	 -27.4304 	 59.44 	 979093.76
-48.443 	 -27.429 	 30.56 	 979103.33
-48.4856 	 -27.6864 	 35.46 	 979125.59
-48.5042 	 -27.7169 	 33.23 	 979132.49
-48.5103 	 -27.7499 	 31.65 	 979133.23
-48.5081 	 -27.7821 	 29.56 	 979134.49
-48.536 	 -27.7963 	 51.35 	 979127.99
-48.4339 	 -27.3946 	 30.07 	 979104.44
-48.4132 	 -27.4043 	 29.2 	 979111.28
-48.5301 	 -27.4845 	 108.86 	 979079.12
-48.5649 	 -27.8034 	 47.71 	 979129.24
-48.5648 	 -27.8191 	 52.57 	 979128.91
-48.6771 	 -27.671 	 6.9 	 979100.81
-48.7467 	 -28.4057 	 32.62 	 979174.66
-49.6299 	 -28.2458 	 1379.2 	 978850.86
-49.6267 	 -28.2956 	 1396.44 	 978848.11
-49.5989 	 -28.2295 	 1320.56 	 978857.87
-49.5807 	 -28.2108 	 1355.24 	 978850.39
-49.6478 	 -28.175 	 1544.21 	 978808.76
-48.8859 	 -26.6959 	 131.34 	 979019.74
-49.2733 	 -26.5505 	 305.69 	 978952.85
-48.7909 	 -27.1089 	 205.41 	 979009.53
-48.7879 	 -27.5372 	 29.77 	 979078.7
-48.8665 	 -27.8979 	 840.18 	 978939.97
-49.3662 	 -27.2938 	 452.02 	 978972.82
-49.1288 	 -27.1508 	 365.58 	 978972.53
-49.7145 	 -27.5346 	 452.65 	 978978.18
-49.8709 	 -27.4541 	 500.49 	 978963.75
-49.9616 	 -27.0525 	 621.16 	 978925.97
-50.2104 	 -27.1117 	 688.67 	 978907.74
-49.6253 	 -26.8852 	 513.34 	 978931.82
-49.5309 	 -26.6112 	 825.41 	 978853.65
-50.6234 	 -27.8863 	 949.25 	 978902.54
-50.317 	 -28.1399 	 1163.47 	 978867.86
-50.6048 	 -28.3662 	 988.19 	 978930.3
-49.8797 	 -28.0341 	 1329.77 	 978829.57
-49.8678 	 -29.0459 	 111.8 	 979168.41
-48.7715 	 -28.0555 	 37.14 	 979127.46
-48.7771 	 -28.1086 	 38.53 	 979133.63
-48.8139 	 -28.1356 	 44.66 	 979129.5
-48.8368 	 -28.1524 	 111.74 	 979113.09
-48.7791 	 -28.1439 	 38.3 	 979139.61
-48.7206 	 -27.4466 	 46.62 	 979076.89
-48.7577 	 -27.4718 	 59.19 	 979077.35
-48.7605 	 -27.4425 	 56.99 	 979074.63
-48.7949 	 -27.4093 	 455.31 	 978988.52
-48.7981 	 -27.4821 	 79.6 	 979074.8
-48.814 	 -27.4417 	 158.28 	 979046.82
-48.9836 	 -27.3458 	 314.88 	 978998.58
-48.8714 	 -28.0973 	 631.96 	 979006.12
-48.8609 	 -28.0697 	 630.07 	 979003.18
-48.9288 	 -28.0531 	 342.4 	 979057.71
-48.8929 	 -28.054 	 467.22 	 979033.15
-48.8983 	 -28.0238 	 354.66 	 979053.12
-48.874 	 -28.0072 	 421.03 	 979040.3
-48.8638 	 -27.9948 	 543.73 	 979014.56
-48.8944 	 -27.9945 	 418.9 	 979036.9
-48.6219 	 -27.2522 	 28.85 	 979066.32
-48.719 	 -27.3073 	 46.01 	 979062.57
-48.7997 	 -27.3072 	 58.37 	 979061.08
-48.8046 	 -27.3359 	 328.25 	 979004.28
