LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-37.121 	 -9.9492 	 71.45 	 978152.59
-37.1 	 -10.093 	 162.98 	 978148.02
-37.953 	 -11.151 	 163.67 	 978200.24
-37.906 	 -11.161 	 190.97 	 978200.26
-37.872 	 -11.226 	 0.28 	 978210.59
-37.488 	 -11.301 	 31.98 	 978248.36
-37.554 	 -11.292 	 118.95 	 978231.31
-37.599 	 -11.312 	 127.11 	 978228.91
-37.62 	 -11.262 	 99.95 	 978236.94
-37.66 	 -11.209 	 155.82 	 978229.98
-37.693 	 -11.291 	 144.57 	 978234.38
-37.784 	 -11.27 	 172.94 	 978221.75
-37.435 	 -11.248 	 37.29 	 978239.44
-37.451 	 -11.16 	 47.04 	 978234.62
-37.473 	 -11.097 	 64.83 	 978229.24
-37.478 	 -11.019 	 90.5 	 978218.23
-37.431 	 -10.975 	 143.32 	 978194.4
-37.357 	 -10.989 	 102.52 	 978197.88
-37.306 	 -11.001 	 -0.74 	 978210.67
-37.249 	 -10.959 	 41.17 	 978191.2
-37.183 	 -10.929 	 31.47 	 978181.84
-37.135 	 -10.902 	 5.23 	 978188.42
-37.127 	 -10.852 	 26.21 	 978188.43
-37.166 	 -10.805 	 -0.44 	 978193.0
-37.119 	 -10.769 	 5.63 	 978201.0
-37.081 	 -10.738 	 0.0 	 978199.8
-37.031 	 -10.695 	 13.07 	 978194.82
-36.985 	 -10.687 	 10.3 	 978196.14
-36.984 	 -10.647 	 -1.9 	 978184.61
-36.964 	 -10.571 	 17.61 	 978166.64
-36.945 	 -10.503 	 127.95 	 978152.28
-36.956 	 -10.425 	 141.36 	 978151.08
-36.896 	 -10.386 	 141.63 	 978151.55
-36.827 	 -10.381 	 110.89 	 978158.01
-36.8 	 -10.347 	 82.35 	 978160.09
-36.756 	 -10.355 	 104.52 	 978156.93
-36.693 	 -10.339 	 110.37 	 978153.6
-36.619 	 -10.322 	 84.06 	 978157.97
-37.443 	 -10.676 	 192.58 	 978163.03
-37.451 	 -10.648 	 188.23 	 978162.49
-37.478 	 -10.597 	 204.55 	 978149.83
-37.496 	 -10.58 	 206.46 	 978148.43
-37.513 	 -10.564 	 174.61 	 978154.31
-37.527 	 -10.552 	 259.82 	 978135.99
-37.559 	 -10.542 	 182.32 	 978153.38
-37.589 	 -10.539 	 190.91 	 978152.88
-37.641 	 -10.542 	 171.54 	 978161.31
-37.674 	 -10.399 	 322.83 	 978132.85
-37.675 	 -10.417 	 278.26 	 978140.35
-37.677 	 -10.442 	 266.0 	 978141.89
-37.669 	 -10.465 	 234.12 	 978146.95
-37.655 	 -10.496 	 190.71 	 978155.93
-37.647 	 -10.518 	 198.47 	 978154.87
-37.662 	 -10.55 	 180.22 	 978162.48
-37.688 	 -10.557 	 200.4 	 978162.39
-37.739 	 -10.593 	 166.09 	 978179.4
-37.745 	 -10.616 	 152.15 	 978186.64
-37.759 	 -10.629 	 174.18 	 978184.38
-37.761 	 -10.649 	 183.62 	 978185.22
-37.811 	 -10.737 	 253.75 	 978177.05
-37.788 	 -10.712 	 342.59 	 978159.51
-37.772 	 -10.695 	 305.58 	 978165.07
-37.766 	 -10.668 	 163.28 	 978191.95
-37.447 	 -10.711 	 142.71 	 978174.15
-37.457 	 -10.72 	 136.76 	 978176.95
-37.49 	 -10.746 	 205.89 	 978167.82
-37.516 	 -10.758 	 146.5 	 978183.06
-37.534 	 -10.768 	 146.27 	 978187.69
-37.547 	 -10.793 	 186.69 	 978181.22
-37.55 	 -10.818 	 170.11 	 978183.4
-37.558 	 -10.849 	 129.28 	 978198.32
-37.57 	 -10.874 	 150.39 	 978199.93
-37.616 	 -10.911 	 128.35 	 978210.02
-37.788 	 -10.755 	 216.83 	 978183.78
-37.777 	 -10.77 	 212.9 	 978183.62
-37.756 	 -10.782 	 225.7 	 978179.93
-37.74 	 -10.79 	 212.6 	 978182.72
-37.722 	 -10.808 	 196.36 	 978186.83
-37.719 	 -10.833 	 174.73 	 978195.14
-37.713 	 -10.86 	 174.49 	 978197.8
-37.699 	 -10.88 	 152.73 	 978203.93
-37.685 	 -10.9 	 173.87 	 978201.33
-37.642 	 -10.909 	 130.25 	 978211.32
-37.636 	 -10.949 	 164.17 	 978209.38
-37.62 	 -10.966 	 147.48 	 978215.29
-37.517 	 -11.002 	 110.03 	 978219.58
-37.532 	 -10.991 	 154.33 	 978210.52
-37.542 	 -10.988 	 156.8 	 978210.46
-37.556 	 -10.985 	 162.25 	 978209.03
-37.571 	 -10.981 	 155.45 	 978213.04
-37.603 	 -10.976 	 98.05 	 978226.65
-37.691 	 -10.933 	 161.19 	 978207.72
-37.707 	 -10.954 	 111.59 	 978220.49
-37.718 	 -10.97 	 114.33 	 978222.62
-37.722 	 -10.989 	 140.81 	 978221.25
-37.72 	 -11.017 	 148.86 	 978225.08
-37.725 	 -11.045 	 135.45 	 978229.4
-37.734 	 -11.068 	 160.35 	 978225.23
-37.898 	 -11.129 	 174.08 	 978204.69
-37.872 	 -11.118 	 218.22 	 978199.99
-37.799 	 -11.095 	 194.87 	 978215.33
-37.778 	 -11.081 	 193.81 	 978216.65
-37.757 	 -11.068 	 202.86 	 978215.06
-37.491 	 -11.473 	 -0.75 	 978256.56
-37.496 	 -11.447 	 8.63 	 978254.48
-37.492 	 -11.42 	 14.16 	 978253.16
-37.476 	 -11.392 	 33.1 	 978247.96
-37.464 	 -11.372 	 -3.08 	 978254.17
-37.622 	 -11.364 	 126.76 	 978231.12
-37.656 	 -11.382 	 130.6 	 978231.3
-37.68 	 -11.398 	 136.17 	 978231.89
-37.703 	 -11.417 	 69.13 	 978247.09
-37.735 	 -11.458 	 93.9 	 978240.19
-37.535 	 -11.493 	 1.46 	 978252.12
-37.589 	 -11.419 	 115.74 	 978230.97
-37.631 	 -11.392 	 121.26 	 978231.04
-37.826 	 -11.382 	 169.01 	 978220.79
-37.791 	 -11.294 	 168.15 	 978223.3
-37.795 	 -11.32 	 172.36 	 978223.67
-37.802 	 -11.368 	 145.65 	 978227.73
-37.443 	 -10.512 	 242.68 	 978139.25
-37.458 	 -10.496 	 185.92 	 978153.33
-37.461 	 -10.443 	 237.34 	 978141.31
-37.438 	 -10.376 	 178.17 	 978147.09
-37.428 	 -10.388 	 181.16 	 978146.98
-37.428 	 -10.351 	 205.42 	 978143.63
-37.405 	 -10.309 	 178.15 	 978147.99
-37.404 	 -10.282 	 180.98 	 978146.57
-37.404 	 -10.209 	 277.29 	 978123.55
-37.356 	 -10.235 	 208.74 	 978135.14
-37.334 	 -10.262 	 172.61 	 978144.2
-37.313 	 -10.264 	 233.83 	 978133.74
-37.295 	 -10.257 	 220.13 	 978137.91
-37.245 	 -10.236 	 218.07 	 978137.14
-37.217 	 -10.24 	 231.23 	 978135.31
-37.196 	 -10.228 	 225.85 	 978136.64
-37.3 	 -10.272 	 239.96 	 978134.04
-37.25 	 -10.368 	 234.47 	 978140.79
-37.227 	 -10.378 	 236.16 	 978141.34
-37.211 	 -10.391 	 238.85 	 978142.85
-37.191 	 -10.455 	 198.15 	 978157.3
-37.42 	 -10.547 	 244.83 	 978136.92
-37.372 	 -10.558 	 261.27 	 978130.26
