LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-49.29 	 -24.5979 	 785.84 	 978723.36
-49.5496 	 -21.6022 	 451.57 	 978578.25
-47.9688 	 -22.5675 	 550.46 	 978592.37
-49.0727 	 -23.9747 	 727.53 	 978670.94
-48.9942 	 -23.4662 	 697.44 	 978620.85
-51.362 	 -21.5303 	 384.64 	 978591.9
-49.1383 	 -23.398 	 614.19 	 978625.9
-49.5475 	 -23.8024 	 514.17 	 978694.01
-50.5379 	 -21.2926 	 446.67 	 978557.39
-50.4872 	 -22.677 	 501.72 	 978607.57
-50.2341 	 -21.3946 	 401.64 	 978563.7
-50.0818 	 -21.1527 	 359.51 	 978553.17
-50.9162 	 -21.4305 	 331.14 	 978587.32
-49.962 	 -22.0116 	 441.24 	 978594.66
-49.4863 	 -22.1619 	 595.86 	 978574.57
-49.7595 	 -21.2574 	 426.33 	 978559.5
-49.5517 	 -22.7645 	 558.19 	 978608.14
-46.788 	 -21.6328 	 869.93 	 978484.04
-48.121 	 -23.4488 	 721.13 	 978612.63
-51.4219 	 -21.8903 	 405.38 	 978607.03
-51.9875 	 -21.616 	 265.4 	 978618.67
-51.2635 	 -21.2074 	 345.09 	 978574.3
-48.5476 	 -23.7119 	 601.85 	 978655.71
-48.3738 	 -23.6252 	 708.0 	 978625.95
-49.0417 	 -23.4568 	 635.29 	 978630.77
-49.2848 	 -23.2082 	 540.16 	 978635.49
-49.2042 	 -23.0418 	 690.99 	 978598.95
-48.2897 	 -22.7958 	 555.18 	 978608.73
-51.8502 	 -21.1844 	 262.2 	 978593.47
-48.3761 	 -21.6164 	 585.45 	 978532.64
-48.3164 	 -21.2567 	 581.02 	 978511.49
-47.79 	 -20.1469 	 581.63 	 978445.09
-49.0378 	 -22.4193 	 592.67 	 978581.46
-49.6968 	 -22.8826 	 527.8 	 978619.4
-48.893 	 -22.8822 	 715.96 	 978581.63
-47.5543 	 -20.5065 	 813.96 	 978433.47
-48.9872 	 -20.6543 	 478.87 	 978515.23
-50.2033 	 -20.7114 	 466.61 	 978521.16
-45.8799 	 -22.9078 	 1027.83 	 978531.43
-45.451 	 -22.726 	 1821.0 	 978344.9
-47.8815 	 -20.6587 	 769.46 	 978456.34
-47.9952 	 -23.7013 	 664.59 	 978644.77
-44.7379 	 -22.9152 	 1276.85 	 978489.1
-44.7392 	 -22.9255 	 1319.58 	 978481.42
-44.8691 	 -23.0367 	 989.98 	 978555.55
-44.8749 	 -23.0419 	 1007.92 	 978552.03
-44.8317 	 -23.0452 	 1144.62 	 978527.24
-44.8134 	 -23.0354 	 1094.44 	 978537.68
-44.8678 	 -23.1245 	 1215.07 	 978517.72
-44.8323 	 -23.1207 	 1275.47 	 978507.77
-44.8271 	 -23.1522 	 1397.43 	 978484.66
-44.2723 	 -22.8077 	 972.22 	 978559.05
-44.3103 	 -22.8112 	 1066.12 	 978538.85
-44.352 	 -22.809 	 1091.32 	 978529.06
-44.3859 	 -22.8513 	 1072.15 	 978537.73
-44.3895 	 -22.8171 	 1203.16 	 978503.18
-44.3931 	 -22.7747 	 891.08 	 978553.53
-44.3872 	 -22.7358 	 656.11 	 978596.55
-44.3597 	 -22.7219 	 490.68 	 978632.03
-44.2688 	 -22.7575 	 1272.24 	 978485.99
-44.2784 	 -22.7251 	 686.08 	 978597.93
-44.3175 	 -22.7313 	 548.53 	 978622.01
-44.3302 	 -22.7527 	 796.06 	 978528.89
-44.3506 	 -22.754 	 1035.95 	 978527.06
-44.6102 	 -22.6223 	 480.1 	 978620.2
-44.6368 	 -22.6169 	 459.19 	 978624.05
-44.609 	 -22.6743 	 1017.55 	 978516.67
-44.6357 	 -22.6843 	 1300.93 	 978455.66
-44.628 	 -22.7172 	 1577.96 	 978412.46
-44.619 	 -22.7324 	 1514.72 	 978427.09
-44.6058 	 -22.7823 	 1242.11 	 978485.48
-44.5714 	 -22.7564 	 1161.44 	 978499.6
-44.5499 	 -22.7369 	 1179.86 	 978494.75
-44.5354 	 -22.7227 	 1239.17 	 978481.76
-44.5117 	 -22.6994 	 890.18 	 978545.76
-44.4447 	 -22.6789 	 494.31 	 978627.8
-44.4615 	 -22.7052 	 743.23 	 978577.66
-44.4717 	 -22.7163 	 855.68 	 978556.11
