LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-49.8572 	 -12.1956 	 206.56 	 978150.43
-49.8217 	 -12.2592 	 245.9 	 978147.77
-49.1922 	 -12.5147 	 261.7 	 978225.74
-49.2542 	 -12.5514 	 217.02 	 978241.85
-49.3167 	 -12.5875 	 228.47 	 978229.09
-49.4367 	 -12.6667 	 208.87 	 978215.46
-49.4833 	 -12.72 	 234.08 	 978208.2
-49.5522 	 -12.7428 	 255.6 	 978190.23
-49.6217 	 -12.7714 	 273.63 	 978180.18
-49.6833 	 -12.8003 	 238.81 	 978182.64
-49.7239 	 -12.8611 	 233.25 	 978182.44
-49.8303 	 -12.9133 	 325.91 	 978163.71
-49.8614 	 -12.8483 	 287.17 	 978165.11
-49.8861 	 -12.7808 	 279.91 	 978163.28
-49.9344 	 -12.7339 	 219.21 	 978175.83
-49.9519 	 -12.6647 	 229.56 	 978172.87
-49.0258 	 -11.7367 	 276.24 	 978160.98
-49.4711 	 -11.6717 	 215.88 	 978125.71
-49.4261 	 -11.62 	 252.59 	 978117.9
-49.3731 	 -11.5683 	 236.97 	 978121.41
-49.3283 	 -11.4333 	 256.7 	 978116.26
-49.3058 	 -11.3714 	 233.04 	 978120.26
-49.9244 	 -12.5372 	 235.02 	 978163.95
-49.8594 	 -12.4208 	 234.38 	 978164.92
-49.8347 	 -12.3525 	 214.66 	 978162.28
-49.8197 	 -12.3122 	 209.8 	 978159.92
-49.8683 	 -11.7044 	 173.37 	 978125.06
-49.8478 	 -11.6297 	 175.29 	 978124.48
-49.8678 	 -11.4814 	 168.25 	 978127.53
-48.74 	 -11.5767 	 247.3 	 978162.71
-48.7689 	 -11.6189 	 251.31 	 978165.54
-48.7908 	 -11.69 	 248.54 	 978176.19
-48.9097 	 -11.7492 	 254.34 	 978177.21
-48.9614 	 -11.7703 	 254.31 	 978171.45
-48.7925 	 -11.46 	 264.56 	 978144.16
-48.7175 	 -11.4625 	 304.96 	 978142.53
-48.7117 	 -11.5208 	 280.47 	 978152.44
-46.455 	 -12.1839 	 516.64 	 978065.17
-46.3869 	 -12.6958 	 511.61 	 978082.53
-46.3933 	 -12.6 	 521.3 	 978087.91
-47.9072 	 -12.6297 	 262.77 	 978156.9
