INDEX 	 LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
0 	 -68.4636 	 -10.8214 	 287.18 	 978170.24
1 	 -68.7128 	 -11.0711 	 287.6 	 978135.48
2 	 -68.6956 	 -11.1164 	 293.46 	 978148.95
3 	 -67.7467 	 -10.0092 	 177.85 	 978130.89
4 	 -67.7172 	 -9.9494 	 157.61 	 978144.27
5 	 -67.6731 	 -9.9553 	 156.46 	 978145.39
6 	 -67.8275 	 -9.8597 	 197.69 	 978142.78
7 	 -67.8236 	 -9.7953 	 207.31 	 978147.16
8 	 -67.7844 	 -9.7525 	 198.89 	 978154.38
9 	 -67.7892 	 -9.68 	 186.82 	 978164.84
10 	 -67.8433 	 -9.7217 	 198.79 	 978154.08
11 	 -67.9064 	 -9.6864 	 179.34 	 978162.75
12 	 -67.9508 	 -9.8314 	 237.07 	 978135.17
13 	 -69.1714 	 -10.8256 	 307.89 	 978161.72
14 	 -69.3928 	 -10.8017 	 302.97 	 978167.13
15 	 -69.4803 	 -10.8467 	 313.29 	 978172.28
16 	 -67.6931 	 -10.2892 	 235.18 	 978164.72
17 	 -67.7281 	 -10.3897 	 244.8 	 978162.16
18 	 -67.7067 	 -10.4472 	 235.21 	 978170.67
19 	 -67.8436 	 -10.5831 	 250.72 	 978184.93
20 	 -67.9617 	 -10.5947 	 250.47 	 978184.49
21 	 -68.04 	 -10.6189 	 251.71 	 978192.29
22 	 -66.895 	 -9.8397 	 162.98 	 978167.19
23 	 -66.9861 	 -9.9372 	 177.9 	 978177.27
24 	 -67.0575 	 -9.9117 	 184.81 	 978174.88
25 	 -67.0958 	 -9.8433 	 187.96 	 978177.92
26 	 -67.1069 	 -9.7767 	 174.0 	 978175.34
27 	 -67.1253 	 -9.7264 	 155.47 	 978181.81
28 	 -67.8258 	 -9.9314 	 188.7 	 978141.35
29 	 -67.7875 	 -9.88 	 198.71 	 978136.95
30 	 -67.7381 	 -9.8264 	 235.06 	 978131.57
31 	 -67.6719 	 -9.7044 	 227.16 	 978163.38
32 	 -67.6267 	 -9.6553 	 209.72 	 978171.86
33 	 -67.5967 	 -9.605 	 213.22 	 978175.68
34 	 -67.545 	 -9.5892 	 146.4 	 978190.98
35 	 -67.71 	 -9.5917 	 184.06 	 978178.03
36 	 -67.7294 	 -9.6564 	 200.4 	 978168.14
37 	 -67.7633 	 -9.6561 	 184.16 	 978168.92
38 	 -67.7203 	 -9.7056 	 188.17 	 978166.7
39 	 -67.8128 	 -10.0258 	 169.01 	 978148.56
40 	 -67.7517 	 -10.0631 	 189.93 	 978143.26
41 	 -67.7369 	 -10.155 	 229.05 	 978148.76
42 	 -67.6967 	 -10.2106 	 230.41 	 978159.05
43 	 -67.8181 	 -10.0764 	 168.13 	 978151.83
44 	 -67.8272 	 -10.0397 	 166.96 	 978153.56
45 	 -67.8408 	 -10.0081 	 158.57 	 978152.68
46 	 -67.6217 	 -10.39 	 235.03 	 978165.47
47 	 -67.6081 	 -10.4236 	 238.77 	 978163.52
48 	 -67.5681 	 -10.4331 	 236.73 	 978164.49
49 	 -67.6614 	 -10.2022 	 207.98 	 978162.0
