FID,ESTACAO,TEMA,UF,MUNICIPIO,GEOCODIGO,VISITA,SITUACAO,CONEX_GPS,CONEX_RN,CONEX_EG,LATITUDE,LONGITUDE,FONTECOORD,ALTGEOM,FONTALTGEO,DATCALCPLAN,DATUM_PLAN,ALT_ORTO,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOTENCIAL,DATUM_ALT,FONT_ALT,GRAVIDADE,NOTA
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a8e,8074417,EG,DF,Brasília,5300108,21/02/2005,BOM,,2378F,,"-15,94777778","-47,87694444",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1116,1050"," 0,071"," 10918,301",Imbituba,NIVELAMENTO GEOMÉTRICO," 978075,39",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a8d,8074335,EG,DF,Brasília,5300108,12/07/2005,BOM,,,,"-15,94638889","-47,88388889",GPS NAVEGAÇÃO,,,,SIRGAS2000,"  1102,9800",,,,Imbituba,NÃO INFORMADA," 978079,15",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a8c,8071478,EG,DF,Brasília,5300108,12/05/2005,DESTRUÍDO,,601X,,"-15,97916667","-47,98944444",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1244,8326"," 0,070"," 12177,350",Imbituba,NIVELAMENTO GEOMÉTRICO," 978054,25",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a8b,8071479,EG,DF,Brasília,5300108,12/07/2005,DESTRUÍDO,,602D,,"-15,97333333","-47,90638889",CARTA 1:100000,,,,SIRGAS2000,," 1175,5200"," 0,071"," 11499,434",Imbituba,NIVELAMENTO GEOMÉTRICO," 978065,22",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a8a,8072709,EG,DF,Brasília,5300108,30/10/1990,BOM,,,,"-15,61469444","-47,70619722",GPS NAVEGAÇÃO,,,,SIRGAS2000,"   961,2400",,,,,NÃO INFORMADA," 978102,50",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a89,8074334,EG,DF,Brasília,5300108,04/04/2005,BOM,,2371Z,,"-15,94527778","-47,88472222",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1101,0536"," 0,071"," 10771,084",Imbituba,NIVELAMENTO GEOMÉTRICO," 978079,70",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a88,8074149,EG,DF,Brasília,5300108,12/07/2005,BOM,91167,2378H,,"-15,94676346","-47,87862484",GPS GEODÉSICO," 1095,703",GPS GEODÉSICO,23/11/2004,SIRGAS2000,," 1108,4350"," 0,071"," 10843,282",Imbituba,NIVELAMENTO GEOMÉTRICO," 978076,68",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a87,8071519,EG,DF,Brasília,5300108,27/07/2011,BOM,91319,2194B,,"-15,56334323","-47,65919129",GPS GEODÉSICO," 1002,807",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1016,1522"," 0,071","  9940,485",Imbituba,NIVELAMENTO GEOMÉTRICO," 978089,51",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a86,8071520,EG,DF,Brasília,5300108,27/07/2011,BOM,,2194C,,"-15,54555556","-47,64083333",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1026,8318"," 0,071"," 10044,932",Imbituba,NIVELAMENTO GEOMÉTRICO," 978085,64",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a85,8071521,EG,DF,Brasília,5300108,27/07/2011,BOM,91320,2194D,,"-15,53049707","-47,62543502",GPS GEODÉSICO," 1024,758",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1038,0818"," 0,071"," 10154,959",Imbituba,NIVELAMENTO GEOMÉTRICO," 978082,36",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a84,8071522,EG,DF,Brasília,5300108,27/07/2011,DESTRUÍDO,,2194E,,"-15,51472222","-47,61805556",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1013,8874"," 0,071","  9918,310",Imbituba,NIVELAMENTO GEOMÉTRICO," 978087,21",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a83,8071516,EG,DF,Brasília,5300108,27/07/2011,BOM,91317,1361T,,"-15,62021899","-47,67238514",GPS GEODÉSICO,"  947,910",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  961,3151"," 0,070","  9404,149",Imbituba,NIVELAMENTO GEOMÉTRICO," 978102,56",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a82,8071518,EG,DF,Brasília,5300108,06/05/2005,NÃO ENCONTRADO,,2194A,,"-15,57833333","-47,66444444",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  980,0129"," 0,071","  9587,015",Imbituba,NIVELAMENTO GEOMÉTRICO," 978096,10",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a81,8072703,EG,DF,Brasília,5300108,18/08/2011,BOM,91137,9518C,,"-15,58745632","-48,11430417",GPS GEODÉSICO," 1329,804",GPS GEODÉSICO,13/10/2010,SIRGAS2000,," 1342,5733",," 13133,030",Imbituba,NIVELAMENTO GEOMÉTRICO," 978021,45",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a80,8071435,EG,DF,Brasília,5300108,29/04/2005,DESTRUÍDO,,2273A,,"-15,60888889","-48,17472222",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1223,1833",," 11965,397",Imbituba,NIVELAMENTO GEOMÉTRICO," 978045,36",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7f,8071436,EG,DF,Brasília,5300108,29/04/2005,NÃO ENCONTRADO,,2273B,,"-15,60500000","-48,14916667",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1277,0116",," 12491,846",Imbituba,NIVELAMENTO GEOMÉTRICO," 978035,57",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7e,8071437,EG,DF,Brasília,5300108,18/08/2011,BOM,,2273C,,"-15,59888889","-48,13138889",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1323,3308",," 12944,847",Imbituba,NIVELAMENTO GEOMÉTRICO," 978026,51",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7d,8071459,EG,DF,Brasília,5300108,17/08/2004,DESTRUÍDO,,1189Z,,"-15,95805556","-47,82222222",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1114,3489"," 0,071"," 10901,130",Imbituba,NIVELAMENTO GEOMÉTRICO," 978077,84",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7c,8071460,EG,DF,Brasília,5300108,14/07/2011,BOM,91327,1190A,,"-15,97881267","-47,81956721",GPS GEODÉSICO," 1046,867",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1059,7180"," 0,071"," 10366,803",Imbituba,NIVELAMENTO GEOMÉTRICO," 978087,83",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7b,8071461,EG,DF,Brasília,5300108,17/08/2004,DESTRUÍDO,,1190B,,"-15,99833333","-47,80694444",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  928,4818"," 0,071","  9083,167",Imbituba,NIVELAMENTO GEOMÉTRICO," 978114,28",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a7a,8080672,EG,DF,Brasília,5300108,12/04/2011,NÃO CONSTRUÍDO,,,,"-15,94015833","-47,62028056",GPS TOPOGRÁFICO,,,,SIRGAS2000,"  1027,3300",,,,,GPS TOPOGRÁFICO," 978098,25",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a79,8080673,EG,DF,Brasília,5300108,12/04/2011,NÃO CONSTRUÍDO,,,,"-15,94611111","-47,60138889",GPS NAVEGAÇÃO,,,,SIRGAS2000,"  1054,6800",,,,Imbituba,NÃO INFORMADA," 978092,48",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a78,8079114,EG,DF,Brasília,5300108,17/04/2008,NÃO CONSTRUÍDO,,,,"-15,54546667","-47,54430556",GPS TOPOGRÁFICO,,,,SIRGAS2000,"  1168,1800",,,,,GPS TOPOGRÁFICO," 978059,68",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a77,8080663,EG,DF,Brasília,5300108,05/09/2016,BOM,91332,2223M,,"-15,93774694","-47,80751080",GPS GEODÉSICO," 1028,395",GPS GEODÉSICO,22/03/2017,SIRGAS2000,," 1041,2240"," 0,071"," 10185,892",Imbituba,NIVELAMENTO GEOMÉTRICO," 978087,61",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a76,8080664,EG,DF,Brasília,5300108,14/07/2011,BOM,,2223N,,"-15,94388889","-47,78416667",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1010,8679"," 0,071","  9888,980",Imbituba,NIVELAMENTO GEOMÉTRICO," 978098,45",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a75,8080666,EG,DF,Brasília,5300108,14/07/2011,BOM,,2223R,,"-15,94166667","-47,73583333",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  971,8196"," 0,071","  9507,042",Imbituba,NIVELAMENTO GEOMÉTRICO," 978108,29",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a74,8080667,EG,DF,Brasília,5300108,26/07/2011,BOM,91326,2223S,,"-15,94799675","-47,71232339",GPS GEODÉSICO," 1000,167",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1013,1697"," 0,071","  9911,497",Imbituba,NIVELAMENTO GEOMÉTRICO," 978099,69",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a73,8080668,EG,DF,Brasília,5300108,14/07/2011,BOM,,2223T,,"-15,95000000","-47,69361111",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  990,6267"," 0,071","  9691,002",Imbituba,NIVELAMENTO GEOMÉTRICO," 978103,94",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a72,8080669,EG,DF,Brasília,5300108,15/07/2011,BOM,,2223U,,"-15,95305556","-47,67444444",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  867,6901"," 0,071","  8488,516",Imbituba,NIVELAMENTO GEOMÉTRICO," 978129,30",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a71,8080670,EG,DF,Brasília,5300108,15/07/2011,BOM,,2223V,,"-15,96666667","-47,65583333",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  897,6570"," 0,071","  8781,643",Imbituba,NIVELAMENTO GEOMÉTRICO," 978123,63",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a70,8080671,EG,DF,Brasília,5300108,30/08/2011,BOM,91316,2223X,,"-15,96036078","-47,63695191",GPS GEODÉSICO,"  951,030",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  964,0859"," 0,071","  9431,405",Imbituba,NIVELAMENTO GEOMÉTRICO," 978110,93",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6f,8080677,EG,DF,Brasília,5300108,05/08/2011,BOM,91318,2224E,,"-16,02463190","-47,54575954",GPS GEODÉSICO," 1025,616",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1038,6716"," 0,071"," 10160,971",Imbituba,NIVELAMENTO GEOMÉTRICO," 978098,35",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6e,8080678,EG,DF,Brasília,5300108,18/08/2011,BOM,91323,2227C,,"-16,03741039","-47,41391668",GPS GEODÉSICO,"  859,058",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  872,2481"," 0,073","  8533,136",Imbituba,NIVELAMENTO GEOMÉTRICO," 978135,61",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6d,8080679,EG,DF,Brasília,5300108,18/08/2011,BOM,,2227D,,"-16,01444444","-47,40666667",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  905,2101"," 0,073","  8855,544",Imbituba,NIVELAMENTO GEOMÉTRICO," 978128,09",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6c,8080688,EG,DF,Brasília,5300108,18/08/2011,BOM,91324,2227P,,"-15,79005311","-47,38055707",GPS GEODÉSICO,"  927,563",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  940,9268"," 0,072","  9204,803",Imbituba,NIVELAMENTO GEOMÉTRICO," 978117,64",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6b,8080690,EG,DF,Brasília,5300108,18/08/2011,BOM,,2227S,,"-15,73888889","-47,38833333",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  975,1960"," 0,072","  9539,973",Imbituba,NIVELAMENTO GEOMÉTRICO," 978109,62",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a6a,8080695,EG,DF,Brasília,5300108,18/08/2011,BOM,91325,2227Z,,"-15,62896671","-47,35662889",GPS GEODÉSICO,"  905,579",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  919,0618"," 0,071","  8990,866",Imbituba,NIVELAMENTO GEOMÉTRICO," 978114,66",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a69,8080698,EG,DF,Brasília,5300108,05/08/2011,BOM,,2226D,,"-15,92166667","-47,60444444",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1049,8917"," 0,071"," 10270,663",Imbituba,NIVELAMENTO GEOMÉTRICO," 978093,86",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a68,8080701,EG,DF,Brasília,5300108,18/08/2011,BOM,91321,2226G,,"-15,85077928","-47,62406495",GPS GEODÉSICO," 1035,494",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1048,5401"," 0,071"," 10257,408",Imbituba,NIVELAMENTO GEOMÉTRICO," 978092,44",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a67,8080706,EG,DF,Brasília,5300108,18/08/2011,BOM,91322,2226N,,"-15,73390819","-47,66161068",GPS GEODÉSICO,"  910,795",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  923,9042"," 0,071","  9038,276",Imbituba,NIVELAMENTO GEOMÉTRICO," 978111,48",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a66,8080708,EG,DF,Brasília,5300108,18/08/2011,BOM,,2226R,,"-15,70861111","-47,65638889",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  971,7881"," 0,071","  9506,627",Imbituba,NIVELAMENTO GEOMÉTRICO," 978102,02",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a65,8080711,EG,DF,Brasília,5300108,19/04/2011,BOM,,2226U,,"-15,63555556","-47,65194444",GPS NAVEGAÇÃO,,,,SIRGAS2000,,"  940,0819"," 0,070","  9196,472",Imbituba,NIVELAMENTO GEOMÉTRICO," 978106,78",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a64,8080713,EG,DF,Brasília,5300108,18/08/2011,BOM,91330,2263R,,"-15,69384347","-48,21695502",GPS GEODÉSICO," 1064,109",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1076,6010"," 0,074"," 10531,789",Imbituba,NIVELAMENTO GEOMÉTRICO," 978079,31",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a63,8080715,EG,DF,Brasília,5300108,18/08/2011,BOM,,2263T,,"-15,68166667","-48,19611111",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1086,5862"," 0,074"," 10629,446",Imbituba,NIVELAMENTO GEOMÉTRICO," 978076,41",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a62,8080716,EG,DF,Brasília,5300108,18/08/2011,BOM,,2263V,,"-15,68083333","-48,19083333",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1118,1959"," 0,074"," 10938,610",Imbituba,NIVELAMENTO GEOMÉTRICO," 978070,73",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a61,8080718,EG,DF,Brasília,5300108,07/10/2016,BOM,99660,2263Z,,"-15,67507948","-48,20398799",GPS GEODÉSICO," 1086,869",GPS GEODÉSICO,22/03/2017,SIRGAS2000,," 1099,4026"," 0,074"," 10754,796",Imbituba,NIVELAMENTO GEOMÉTRICO," 978074,13",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a60,8080721,EG,DF,Brasília,5300108,18/08/2011,BOM,91331,2264C,,"-15,61611611","-48,19796331",GPS GEODÉSICO," 1114,130",GPS GEODÉSICO,21/12/2011,SIRGAS2000,," 1126,8754"," 0,075"," 11023,467",Imbituba,NIVELAMENTO GEOMÉTRICO," 978065,23",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a5f,8080724,EG,DF,Brasília,5300108,18/08/2011,BOM,,2264F,,"-15,57500000","-48,19000000",GPS NAVEGAÇÃO,,,,SIRGAS2000,," 1013,2401"," 0,075","  9912,007",Imbituba,NIVELAMENTO GEOMÉTRICO," 978083,69",
TEMP_APP_BDG_TODAS_2018.fid--55ec4aa9_16935d20a6f_-7a5e,8080725,EG,DF,Brasília,5300108,18/08/2011,BOM,91328,2264G,,"-15,55604204","-48,19596836",GPS GEODÉSICO,"  927,434",GPS GEODÉSICO,21/12/2011,SIRGAS2000,,"  940,4970"," 0,075","  9200,496",Imbituba,NIVELAMENTO GEOMÉTRICO," 978099,72",
